Pos,Club,Pld,W,D,L,GF,GA,GD,pts,HW%,HD%,HL%,AW%,AD%,AL%,Corners,HCorners,ACorners,Shots,HShots,AShots,ShotsTarget,HShotsTarget,AShotsTarget,ShotsTarget%,HShotsTarget%,AShotsTarget%,pts vs Champions,W vs Champions,D vs Champions,L vs Champions,HW% vs Champions,HD% vs Champions,HL% vs Champions,AW% vs Champions,AD% vs Champions,AL% vs Champions,pts vs 2-4 CL Qualified,W vs 2-4 CL Qualified,D vs 2-4 CL Qualified,L vs 2-4 CL Qualified,HW% vs 2-4 CL Qualified,HD% vs 2-4 CL Qualified,HL% vs 2-4 CL Qualified,AW% vs 2-4 CL Qualified,AD% vs 2-4 CL Qualified,AL% vs 2-4 CL Qualified,pts vs 5-7 UEFA League Qualified,W vs 5-7 UEFA League Qualified,D vs 5-7 UEFA League Qualified,L vs 5-7 UEFA League Qualified,HW% vs 5-7 UEFA League Qualified,HD% vs 5-7 UEFA League Qualified,HL% vs 5-7 UEFA League Qualified,AW% vs 5-7 UEFA League Qualified,AD% vs 5-7 UEFA League Qualified,AL% vs 5-7 UEFA League Qualified,pts vs 8-13or15 Upper Mid-Table,W vs 8-13or15 Upper Mid-Table,D vs 8-13or15 Upper Mid-Table,L vs 8-13or15 Upper Mid-Table,HW% vs 8-13or15 Upper Mid-Table,HD% vs 8-13or15 Upper Mid-Table,HL% vs 8-13or15 Upper Mid-Table,AW% vs 8-13or15 Upper Mid-Table,AD% vs 8-13or15 Upper Mid-Table,AL% vs 8-13or15 Upper Mid-Table,pts vs 14or16-17or19 Low Mid-Table,W vs 14or16-17or19 Low Mid-Table,D vs 14or16-17or19 Low Mid-Table,L vs 14or16-17or19 Low Mid-Table,HW% vs 14or16-17or19 Low Mid-Table,HD% vs 14or16-17or19 Low Mid-Table,HL% vs 14or16-17or19 Low Mid-Table,AW% vs 14or16-17or19 Low Mid-Table,AD% vs 14or16-17or19 Low Mid-Table,AL% vs 14or16-17or19 Low Mid-Table,pts vs Relegated,W vs Relegated,D vs Relegated,L vs Relegated,HW% vs Relegated,HD% vs Relegated,HL% vs Relegated,AW% vs Relegated,AD% vs Relegated,AL% vs Relegated
1,Man United,38,28,5,5,86,43,43,89,0.842105,0,0.157895,0.631579,0.263158,0.105263,218,114,104,512,280,232,299,163,136,0.583984,0.582143,0.586207,0,0,0,0,0,0,0,0,0,0,10,3,1,2,0.333333,0,0.666667,0.666667,0.333333,0,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,27,8,3,1,1,0,0,0.333333,0.5,0.166667,24,8,0,0,1,0,0,1,0,0,18,6,0,0,1,0,0,1,0,0
2,Man City,38,23,9,6,66,34,32,78,0.736842,0.157895,0.105263,0.473684,0.315789,0.210526,269,143,126,601,307,294,352,176,176,0.585691,0.57329,0.598639,3,1,0,1,0,0,1,1,0,0,8,2,2,0,0.333333,0.333333,0,0.333333,0.333333,0,6,1,3,2,0.333333,0.666667,0,0,0.333333,0.666667,27,8,3,1,0.833333,0,0.166667,0.5,0.5,0,18,6,0,2,1,0,0,0.5,0,0.5,16,5,1,0,1,0,0,0.666667,0.333333,0
3,Chelsea,38,22,9,7,75,39,36,75,0.631579,0.263158,0.105263,0.526316,0.210526,0.263158,240,134,106,569,342,227,336,203,133,0.59051,0.593567,0.585903,3,1,0,1,0,0,1,1,0,0,7,2,1,1,0.333333,0.333333,0,0.333333,0,0.333333,12,3,3,0,0.333333,0.666667,0,0.666667,0.333333,0,26,8,2,2,0.833333,0.166667,0,0.5,0.166667,0.333333,16,5,1,2,0.75,0.25,0,0.5,0,0.5,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
4,Arsenal,38,21,10,7,72,37,35,73,0.578947,0.263158,0.157895,0.526316,0.263158,0.210526,260,148,112,546,305,241,326,180,146,0.59707,0.590164,0.605809,1,0,1,1,0,1,0,0,0,1,1,0,1,3,0,0,0.666667,0,0.333333,0.333333,9,2,3,1,0.333333,0.666667,0,0.333333,0.333333,0.333333,26,8,2,2,0.666667,0.166667,0.166667,0.666667,0.166667,0.166667,18,5,3,0,0.75,0.25,0,0.5,0.5,0,18,6,0,0,1,0,0,1,0,0
5,Tottenham,38,21,9,8,66,46,20,72,0.578947,0.263158,0.157895,0.526316,0.210526,0.263158,261,141,120,617,346,271,381,218,163,0.617504,0.630058,0.601476,4,1,1,0,0,1,0,1,0,0,7,2,1,3,0.666667,0,0.333333,0,0.333333,0.666667,4,1,1,2,0.333333,0.333333,0,0,0,0.666667,25,7,4,1,0.333333,0.5,0.166667,0.833333,0.166667,0,21,7,0,1,1,0,0,0.75,0,0.25,11,3,2,1,0.666667,0,0.333333,0.333333,0.666667,0
6,Everton,38,16,15,7,55,40,15,63,0.631579,0.315789,0.0526316,0.210526,0.473684,0.315789,257,146,111,561,304,257,321,173,148,0.572193,0.569079,0.575875,3,1,0,1,1,0,0,0,0,1,6,1,3,2,0.333333,0.333333,0.333333,0,0.666667,0.333333,6,1,3,0,0.333333,0.333333,0,0,0.666667,0,22,6,4,2,0.666667,0.333333,0,0.333333,0.333333,0.333333,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,11,3,2,1,1,0,0,0,0.666667,0.333333
7,Liverpool,38,16,13,9,71,43,28,61,0.473684,0.315789,0.210526,0.368421,0.368421,0.263158,285,161,124,669,393,276,385,219,166,0.575486,0.557252,0.601449,0,0,0,2,0,0,1,0,0,1,5,0,5,1,0,0.666667,0.333333,0,1,0,5,1,2,1,0.333333,0.333333,0,0,0.333333,0.333333,21,6,3,3,0.5,0.333333,0.166667,0.5,0.166667,0.333333,14,4,2,2,0.5,0.25,0.25,0.5,0.25,0.25,16,5,1,0,1,0,0,0.666667,0.333333,0
8,West Brom,38,14,7,17,53,57,-4,49,0.473684,0.210526,0.315789,0.263158,0.157895,0.578947,202,116,86,460,267,193,253,142,111,0.55,0.531835,0.57513,1,0,1,1,0,1,0,0,0,1,3,1,0,5,0.333333,0,0.666667,0,0,1,10,3,1,2,0.666667,0,0.333333,0.333333,0.333333,0.333333,8,2,2,6,0.333333,0.166667,0.333333,0,0.166667,0.666667,15,4,3,1,0.5,0.5,0,0.5,0.25,0.25,12,4,0,2,0.666667,0,0.333333,0.666667,0,0.333333
9,Swansea,38,11,13,14,47,51,-4,46,0.315789,0.421053,0.263158,0.263158,0.263158,0.473684,194,119,75,460,277,183,262,160,102,0.569565,0.577617,0.557377,1,0,1,1,0,1,0,0,0,1,5,1,2,3,0,0.666667,0.333333,0.333333,0,0.666667,2,0,2,4,0,0.333333,0.666667,0,0.333333,0.666667,13,4,1,5,0.5,0,0.333333,0.166667,0.166667,0.5,11,2,5,1,0.25,0.75,0,0.25,0.5,0.25,14,4,2,0,0.666667,0.333333,0,0.666667,0.333333,0
10,West Ham,38,12,10,16,45,53,-8,46,0.473684,0.315789,0.210526,0.157895,0.210526,0.631579,213,123,90,439,247,192,250,148,102,0.569476,0.59919,0.53125,1,0,1,1,0,1,0,0,0,1,4,1,1,4,0.333333,0.333333,0.333333,0,0,1,1,0,1,5,0,0,1,0,0.333333,0.666667,18,5,3,2,0.666667,0.166667,0,0.166667,0.333333,0.333333,12,3,3,2,0.5,0.5,0,0.25,0.25,0.5,10,3,1,2,0.666667,0.333333,0,0.333333,0,0.666667
