Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.25,0.25,0,0,0.5,0.25,0,0,0.5,0.25,0,0.25,0.25,0.5,0,0.5,0.25,0.5,0,0.5,0,0.25,0.25,0.25,0,0.22,0.25,0.191311,0.28,0.22
2,0,0.25,0,0,0,0,0,0,0.5,0.25,0,0,0.25,0,0,0,0,0,0,0.5,0.25,0,0,0.25,0,0.09,0,0.156205,0.41,0.09
3,0.25,0.25,0,0.75,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0.75,0,0,0.25,0,0.25,0.25,0.25,0.18,0.25,0.206398,0.57,0.18
4,0.25,0.25,0.25,0.25,0.25,0.5,0,0.5,0.5,0.25,0.25,0.5,0,0,0,0.25,0.5,0,0.25,0.5,0.25,0.25,0.5,0.75,0,0.28,0.25,0.203961,0.47,0.28
5,0.75,0.5,0.5,0,0.5,0.25,0,0,0,0.5,0.5,0.25,0.25,0,0.25,0.5,0.5,0,0,0,0.25,0.25,0.25,0.5,0.5,0.28,0.25,0.227156,0.47,0.28
6,0.25,0.5,0.25,0.25,0,0,0.5,0.25,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.5,0.5,0.25,0.25,0.5,0.75,0,0.5,0,0.27,0.25,0.198997,0.48,0.27
7,0.25,1,0,0.5,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0,0.5,0,0,0.25,0.5,0.25,0.25,0.25,0.25,0.212132,0.75,0.25
8,0.25,0.25,0,0.25,0,0.25,0,0.25,0.75,0.25,0.25,0.25,0.25,0,0.25,1,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0,0.3,0.25,0.234521,0.7,0.3
9,0,0,0,0.25,0.25,0.25,0.75,0.5,0,0.25,0.25,0.25,0,0.5,0.25,0,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.29,0.25,0.208327,0.46,0.29
10,0.75,0.5,0.25,0.25,0.5,0.5,0,0.25,0.25,0.5,0.5,0.5,0,0.25,0,0.5,0,0.5,0.5,0,0,0.25,0.5,0.5,0.25,0.32,0.25,0.218174,0.43,0.32
11,0.75,0,0.25,0.5,0.75,0.5,0.75,0.75,0,0.5,0,0.25,0.5,0.25,0.75,0,0,0.75,0,0.5,0.25,0.5,0.25,0.5,0.75,0.4,0.5,0.282843,0.35,0.4
12,0.75,0.25,0.5,0.5,0.5,0.25,0.25,0.75,0,0.5,0,0.5,0.75,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.75,0,0,0.36,0.25,0.235372,0.39,0.36
13,0,0.25,0.25,0,0.25,0.5,0.25,0.75,0,0.5,0.25,0.25,0.25,0,0.75,0.25,0,0.5,0.25,0,0,0.75,0,0.25,0.25,0.26,0.25,0.239583,0.49,0.26
14,0.25,0.25,0.75,0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.75,0.5,0.25,0.25,0.25,0,0,0,0.25,0.25,0.5,0.5,0,0,0.27,0.25,0.211187,0.48,0.27
15,0,0.25,0,0.5,0.25,0.25,0,0.25,0.25,0.25,0.25,0.25,0.5,0,0.25,0,0.25,0.75,0.5,0,0.5,0.25,0.5,0,0.25,0.25,0.25,0.2,0.5,0.25
16,0,0.75,0.5,0.5,0.5,0.5,0,0.25,0,0,0,0.25,0.25,0,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0,0,0.25,0.5,0.27,0.25,0.222711,0.48,0.27
17,0,0.25,0,0.75,0,0,0.75,0,0,0.5,0.5,0.25,0,0.25,0.25,0,0.25,0.5,0.5,0,0,0.25,0.25,0,0,0.21,0.25,0.241661,0.54,0.21
18,0,0.25,0,0.5,0.25,0.5,0.25,0,0,0.5,0.25,0.5,0,0.25,0,0.5,0.25,0.25,0,0.75,0.25,0,0.5,0,0.25,0.24,0.25,0.217715,0.51,0.24
19,0.75,0.5,0.5,0.75,0.25,0.5,0,0,0.5,0,0.25,0.75,0,0.5,0.25,0.5,0.75,0,0.25,0,0.25,0.25,0.5,1,0.25,0.37,0.25,0.283901,0.63,0.37
20,0.5,0.25,0,0,0.25,0.25,0.25,0.25,0.25,0,0.75,0.25,0.25,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0.75,0.28,0.25,0.237908,0.47,0.28
