Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0,0.333333,1,0.333333,0.333333,0.666667,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0.333333,0.666667,0.333333,0.253333,0.333333,0.254384,0.746667,0.253333
2,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.666667,0.333333,0.333333,0,0.666667,0,0,0,0,0,0,0.333333,0.333333,0.226667,0.333333,0.225487,0.44,0.226667
3,0,0,0,0.333333,0,0.333333,0.333333,0,0,0,0,0,0.333333,0,0,0.333333,0,0.333333,0,0,0.333333,0,0,0.333333,0,0.106667,0,0.155492,0.226667,0.106667
4,0,0,0,0,0,0,0.666667,0.333333,0,0,0.333333,0.333333,0,0.666667,0,0,0,0.333333,0,0.333333,0,0,0,0,0.333333,0.133333,0,0.210819,0.533333,0.133333
5,0.333333,0.333333,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0,0,0,0.333333,0,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0,0,0,0.28,0.333333,0.224697,0.386667,0.28
6,0.333333,0.666667,0.333333,0,0,0,1,0.666667,0,0,0,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0,0.666667,0.333333,1,0.32,0.333333,0.305214,0.68,0.32
7,0,0.333333,0.333333,1,0,0,0.333333,1,0,0,0.666667,0.333333,0,0.333333,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0.666667,0.666667,0.333333,0.293333,0.333333,0.302875,0.706667,0.293333
8,0.333333,0,0,0.333333,0,0,0,0,0.333333,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0,0.666667,0.333333,0,0,0,0,0.333333,0.28,0.333333,0.277769,0.386667,0.28
9,0,0.333333,0,0,0.333333,0,0,0,0,0.333333,1,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0,0,0.333333,0.666667,0.213333,0.333333,0.247296,0.786667,0.213333
10,0,0,0,0,0.333333,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0.333333,0.333333,0.12,0,0.16,0.213333,0.12
11,0,0,0.333333,0,0.333333,0,0.333333,0,0,0,0,0,0.666667,0.333333,0,0,0.333333,0,0.333333,0,0,0.333333,0,0.333333,0.666667,0.16,0,0.213333,0.506667,0.16
12,0,0.333333,0.333333,0,0,0,0,0.666667,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0,0,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.186667,0.333333,0.190438,0.48,0.186667
13,0.333333,0,0.333333,0.333333,0,0,0.333333,0,0,0,0,0,0,0.333333,0,0,0.333333,0.333333,0,0.666667,0.333333,0.666667,0,0.333333,0.333333,0.186667,0,0.212498,0.48,0.186667
14,0,0.333333,0,0,0.333333,0,0.666667,0.333333,0.333333,0.333333,0,0,0.333333,0,0,0,0.333333,0,0.333333,0,0,0.333333,0.666667,0,0,0.173333,0,0.213333,0.493333,0.173333
15,0,0,0.333333,0,0.333333,0,0,0,0,0,0,0.333333,0.333333,0,0.333333,0.666667,0.333333,0.333333,0,0.666667,0.333333,0.333333,0,0,0,0.173333,0,0.213333,0.493333,0.173333
16,0,0,0.333333,0,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0,0,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.16,0,0.166533,0.173333,0.16
17,0,0,0,0.333333,0.666667,0,0.333333,0.333333,0,0.333333,0.666667,0.666667,0,0,0,0,0,0.333333,0.333333,0,0.333333,0.333333,1,0.333333,0,0.24,0.333333,0.275197,0.76,0.24
18,0,0,0.333333,0.333333,0,0.666667,0,0,0,0,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0.16,0,0.191369,0.506667,0.16
19,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.666667,0,0,0,0.333333,0.333333,0.16,0,0.213333,0.506667,0.16
20,0,0.666667,0,0.666667,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.08,0,0.19505,0.586667,0.08
