Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0,0,0.666667,0,0.666667,0,0.333333,0.666667,0,0.333333,0,1,0,1,0.666667,1,0,0.346667,0.333333,0.346153,0.653333,0.346667
2,0.333333,0.333333,0.666667,0,0,0,0,0.333333,0.333333,0,0.333333,0,0.333333,0.666667,0.666667,0.333333,0,0,0,1,0.333333,0.333333,0.666667,0.333333,0,0.28,0.333333,0.277769,0.72,0.28
3,0.333333,0.333333,0,0,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.666667,0,0.666667,0.666667,0,0.346667,0.333333,0.24,0.32,0.346667
4,0.333333,0.666667,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.333333,0.666667,0.333333,0,0.666667,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.210819,0.333333,0.333333
5,0.666667,0,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0.666667,0,0.253333,0.333333,0.216641,0.413333,0.253333
6,0,0,0,0.333333,0.333333,0,0.333333,0.666667,0.333333,0,0,0.333333,0,0.333333,0,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.173333,0,0.191369,0.493333,0.173333
7,0.333333,0,0.333333,0,0,0,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.666667,0.666667,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0.266667,0.333333,0.23094,0.4,0.266667
8,0.333333,0,0.666667,0,0.666667,0,0,0.333333,0,0.666667,0.333333,0,0,0,0.333333,0,0.333333,0,0,0,0.333333,0.666667,0.333333,0,0.333333,0.213333,0,0.247296,0.453333,0.213333
9,0.333333,0.333333,0.666667,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.666667,0,0.666667,0,0,0,0,0,0,0.24,0.333333,0.22151,0.426667,0.24
10,0,0,0.333333,0,0.666667,0.333333,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0.666667,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.28,0.333333,0.203961,0.386667,0.28
11,0,0.333333,0.333333,0,0,0.333333,0.666667,0.666667,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0,0.333333,0,0.666667,0.333333,0.666667,0,0,0.333333,0,0.333333,0.293333,0.333333,0.237019,0.373333,0.293333
12,0.666667,0.333333,0.666667,0,0,0.666667,0,0,0,0.333333,0.333333,0.333333,0,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0.333333,0,0,0.666667,0.226667,0.333333,0.244404,0.44,0.226667
13,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.666667,0.666667,1,0,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0.333333,0.666667,0,0,0.333333,0,0,0.293333,0.333333,0.271948,0.706667,0.293333
14,0,0,0.333333,0,0,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,0,0,0,0.333333,0,0,0.666667,0.146667,0,0.190438,0.52,0.146667
15,0.333333,0,0.333333,0.333333,0,0,0,0.333333,0,0.333333,0,0.333333,0.333333,0.666667,0.333333,0,0,0.666667,0.666667,0.666667,0,0,0.666667,0,0,0.24,0.333333,0.258543,0.426667,0.24
16,0,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.666667,0.666667,0.666667,0.333333,0.666667,0,0.333333,0,0.666667,0.666667,0.333333,0,0.333333,0,0.333333,0,0,0.333333,0.32,0.333333,0.257854,0.346667,0.32
17,0.333333,0,0,0.333333,0.666667,0,0.333333,0,0.666667,0,0,0.333333,0.333333,0,0.666667,0.333333,0,0.333333,0,0.333333,0.666667,0,0,0,0.333333,0.226667,0.333333,0.244404,0.44,0.226667
18,0.333333,0,0.333333,0,0.333333,0.333333,0,0,0.666667,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0,0,0.333333,0,0,0,0.333333,0,0.16,0,0.191369,0.506667,0.16
19,0.333333,0.333333,0,0,0,0,0,0,0.333333,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0,0.333333,0,0,0,0.333333,0.133333,0,0.163299,0.2,0.133333
20,0,0.333333,0,0,0.333333,0,0,0,0.666667,0,0,0.333333,0.333333,0,0,0.666667,0,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,0,0.173333,0,0.213333,0.493333,0.173333
