Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.333333,0.5,0.166667,0.166667,0.333333,0,0.5,0.5,0,0.166667,0.166667,0.166667,0.333333,0,0,0.666667,0.166667,0.5,0.166667,0.333333,0.333333,0.166667,0.333333,0.333333,0.333333,0.266667,0.333333,0.176383,0.4,0.266667
2,0.333333,0.166667,0,0.333333,0.166667,0.166667,0.333333,0.5,0.166667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.666667,0,0.5,0.166667,0.166667,0.5,0.166667,0.666667,0.5,0.333333,0.3,0.333333,0.182574,0.366667,0.3
3,0.166667,0,0.666667,0,0.166667,0.166667,0.333333,0.166667,0.166667,0.333333,0,0.333333,0.666667,0,0.333333,0.166667,0.166667,0.5,0.5,0.5,0,0.333333,0.166667,0.666667,0.333333,0.273333,0.166667,0.210185,0.393333,0.273333
4,0.5,0.5,0.5,0.333333,0.333333,0.5,0.5,0.166667,0.5,0.166667,0.166667,0,0.166667,0.166667,0,0.666667,0.166667,0,0,0,0.166667,0.333333,0,0.5,0.5,0.273333,0.166667,0.210185,0.393333,0.273333
5,0.5,0,0.5,0.166667,0.5,0,0.166667,0.166667,0,0,0,0.333333,0.166667,0.333333,0.166667,0.333333,0,0.333333,0.166667,0.166667,0.333333,0.333333,0,0.166667,0.5,0.213333,0.166667,0.173333,0.286667,0.213333
6,0.333333,0.5,0.333333,0.166667,0.5,0.333333,0.5,0.333333,0.333333,0.5,0.166667,0.166667,0.5,0.333333,0,0,0.166667,0.333333,0.5,0.166667,0,0.5,0.333333,0.333333,0.5,0.313333,0.333333,0.165462,0.186667,0.313333
7,0.5,0.333333,0.333333,0.166667,0.333333,0,0.166667,0.166667,0.333333,0.333333,0.5,0.166667,0.333333,0.333333,0,0.333333,0,0,0.5,0.333333,0.166667,0.166667,0.166667,0,0,0.226667,0.166667,0.162481,0.273333,0.226667
8,0.5,0,0.166667,0.166667,0,0.166667,0,0.166667,0.166667,0.333333,0,0.333333,0.166667,0.333333,0.166667,0.333333,0,0.166667,0.333333,0,0.333333,0.333333,0.5,0.333333,0.166667,0.206667,0.166667,0.151144,0.293333,0.206667
9,0.166667,0.5,0.333333,0.333333,0.5,0.333333,0.166667,0.166667,0.166667,0.166667,0,0.166667,0.166667,0.333333,0.166667,0.166667,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.166667,0.333333,0.24,0.166667,0.133998,0.26,0.24
10,0,0.333333,0.166667,0.333333,0.333333,0.333333,0.333333,0.333333,0.166667,0.166667,0,0.166667,0.333333,0.333333,0.333333,0.166667,0.166667,0.166667,0.166667,0.333333,0,0,0.666667,0.166667,0,0.22,0.166667,0.154344,0.446667,0.22
11,0.666667,0.166667,0.166667,0.333333,0,0.166667,0.333333,0,0.333333,0.333333,0.166667,0.5,0.5,0.166667,0.166667,0.333333,0.5,0.333333,0.333333,0.166667,0.166667,0,0.333333,0.5,0.166667,0.273333,0.333333,0.169181,0.393333,0.273333
12,0.166667,0.166667,0,0.5,0.166667,0.333333,0.5,0.166667,0.666667,0.166667,0.166667,0,0.333333,0.166667,0,0.166667,0.166667,0.166667,0,0.5,0.166667,0.333333,0,0.166667,0.5,0.226667,0.166667,0.181842,0.44,0.226667
13,0.166667,0.333333,0.333333,0.333333,0.166667,0.333333,0.333333,0.166667,0,0.166667,0.166667,0.166667,0.333333,0.333333,0.5,0.166667,0.166667,0.333333,0.166667,0.5,0.5,0.166667,0,0.333333,0,0.246667,0.166667,0.142361,0.253333,0.246667
14,0.166667,0.333333,0.166667,0,0,0.166667,0.333333,0.666667,0.5,0.333333,0.5,0.5,0.5,0,0,0.5,0.333333,0,0.333333,0.5,0.333333,0.333333,0.333333,0.333333,0,0.286667,0.333333,0.197315,0.38,0.286667
15,0.5,0.333333,0,0.166667,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.166667,0.333333,0.333333,0,0.333333,0,0,0.333333,0.5,0.166667,0.166667,0.333333,0.333333,0.333333,0.166667,0.24,0.333333,0.142049,0.26,0.24
16,0.333333,0.833333,0.333333,0,0.166667,0.5,0.5,0.5,0.166667,0.333333,0.333333,0.166667,0.333333,0,0.166667,0.5,0.5,0.166667,0.166667,0.333333,0.166667,0.5,0.166667,0.5,0.333333,0.32,0.333333,0.18809,0.513333,0.32
17,0.5,0.166667,0.166667,0.5,0.166667,0.166667,0,0.5,0.333333,0.166667,0.333333,0.5,0.5,0.333333,0.166667,0.166667,0,0.333333,0.333333,0.333333,0.333333,0.166667,0,0.333333,0.333333,0.273333,0.333333,0.155492,0.226667,0.273333
18,0,0.166667,0.333333,0.333333,0.5,0.166667,0.166667,0.333333,0.5,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.5,0.5,0.333333,0,0.166667,0.166667,0.5,0.333333,0.5,0,0.273333,0.166667,0.169181,0.226667,0.273333
19,0.166667,0.5,0.166667,0.333333,0,0.166667,0.166667,0.166667,0,0.166667,0,0.5,0.166667,0.5,0.166667,0,0.333333,0,0.333333,0.166667,0,0.166667,0.166667,0.333333,0.166667,0.193333,0.166667,0.154056,0.306667,0.193333
20,0.166667,0.333333,0.166667,0.333333,0.666667,0,0.166667,0.333333,0.166667,0.166667,0.333333,0.166667,0,0.166667,0.166667,0.333333,0.166667,0.5,0.166667,0.5,0.166667,0.5,0,0.166667,0,0.233333,0.166667,0.169967,0.433333,0.233333
