Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.210526,0.210526,0.157895,0.105263,0.421053,0.263158,0.263158,0.263158,0.315789,0.157895,0.210526,0.157895,0.315789,0.157895,0.105263,0.526316,0.157895,0.368421,0.105263,0.368421,0.210526,0.263158,0.315789,0.473684,0.157895,0.250526,0.210526,0.112666,0.275789,0.145263
2,0.157895,0.157895,0.210526,0.210526,0.157895,0.210526,0.157895,0.315789,0.368421,0.263158,0.210526,0.157895,0.368421,0.315789,0.263158,0.263158,0.157895,0.210526,0.0526316,0.421053,0.263158,0.157895,0.368421,0.368421,0.210526,0.24,0.210526,0.0894179,0.181053,0.187368
3,0.210526,0.157895,0.210526,0.210526,0.105263,0.210526,0.315789,0.210526,0.210526,0.368421,0.105263,0.263158,0.368421,0.105263,0.157895,0.210526,0.210526,0.473684,0.263158,0.315789,0.210526,0.157895,0.263158,0.473684,0.210526,0.24,0.210526,0.0977078,0.233684,0.134737
4,0.263158,0.315789,0.315789,0.263158,0.421053,0.421053,0.368421,0.263158,0.263158,0.210526,0.368421,0.263158,0.368421,0.263158,0,0.368421,0.210526,0.0526316,0.157895,0.263158,0.105263,0.263158,0.263158,0.421053,0.263158,0.269474,0.263158,0.105599,0.151579,0.269474
5,0.473684,0.157895,0.315789,0.157895,0.631579,0.210526,0.210526,0.210526,0.105263,0.263158,0.315789,0.157895,0.210526,0.157895,0.210526,0.263158,0.315789,0.157895,0.210526,0.263158,0.315789,0.315789,0.0526316,0.315789,0.315789,0.252632,0.210526,0.116267,0.378947,0.2
6,0.263158,0.368421,0.263158,0.210526,0.263158,0.157895,0.473684,0.473684,0.263158,0.263158,0.105263,0.263158,0.315789,0.263158,0.157895,0.157895,0.157895,0.315789,0.421053,0.157895,0.157895,0.473684,0.368421,0.368421,0.473684,0.286316,0.263158,0.11345,0.187368,0.181053
7,0.315789,0.421053,0.210526,0.368421,0.263158,0.105263,0.315789,0.368421,0.157895,0.263158,0.421053,0.368421,0.368421,0.315789,0.263158,0.421053,0.105263,0.157895,0.368421,0.263158,0.210526,0.210526,0.263158,0.210526,0.157895,0.275789,0.263158,0.0956448,0.145263,0.170526
8,0.368421,0.0526316,0.210526,0.315789,0.157895,0.157895,0.0526316,0.157895,0.263158,0.421053,0.210526,0.368421,0.210526,0.210526,0.263158,0.473684,0.315789,0.210526,0.421053,0.263158,0.263158,0.368421,0.368421,0.315789,0.263158,0.267368,0.263158,0.106227,0.206316,0.214737
9,0.105263,0.263158,0.263158,0.263158,0.315789,0.315789,0.315789,0.263158,0.210526,0.368421,0.368421,0.263158,0.263158,0.315789,0.210526,0.263158,0.210526,0.210526,0.473684,0.315789,0.263158,0.210526,0.263158,0.315789,0.368421,0.28,0.263158,0.0709571,0.193684,0.174737
10,0.263158,0.263158,0.263158,0.210526,0.473684,0.315789,0.157895,0.210526,0.210526,0.210526,0.263158,0.263158,0.263158,0.368421,0.157895,0.315789,0.157895,0.210526,0.263158,0.157895,0.0526316,0.210526,0.421053,0.368421,0.210526,0.250526,0.263158,0.0896654,0.223158,0.197895
