Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.25,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.5,0,0,0,0.25,0.12,0,0.143527,0.38,0.12
2,0,0.25,0.5,0.5,0,0,0,0.5,0,0.25,0,0,0.25,0,0,0.25,0.5,0.25,0,0.25,0.25,0.25,0.25,0.25,0,0.18,0.25,0.180555,0.32,0.18
3,0.25,0.25,0,0,0.5,0,0,0.5,0.5,0.5,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0.25,0.25,0.25,0.19,0.25,0.1772,0.31,0.19
4,0.25,0.5,0.25,0,0.25,0.25,0,0,0.5,0.25,0,0.25,0,0.25,0.75,0.25,0.25,0.25,0.25,0,0,0,0,0.25,0.75,0.22,0.25,0.21587,0.53,0.22
5,0,0.25,0.25,0.25,0.5,0,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0,0.5,0,0.25,0,0.25,0,0.5,0,0.23,0.25,0.186011,0.52,0.23
6,0.25,0.25,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0,0.25,0.5,0,0.75,0.32,0.25,0.193907,0.43,0.32
7,0.25,0,0.25,0,0,0.5,0.25,0.25,0.5,0.75,0.75,0.25,0,0.75,0.75,0.5,0.25,0.5,0,0.75,0,0.75,0.25,0.5,0.25,0.36,0.25,0.274591,0.39,0.36
8,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,0,0.5,0.5,0,0.75,0.5,0,0.25,0.5,0.5,0,0,0.5,0.25,0.25,0.25,0.3,0.25,0.212132,0.45,0.3
9,0.5,0.5,0.5,0.25,0.25,0.25,0,0.25,0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.5,0.5,0.25,0,0.25,0.25,0.25,0.5,0.25,0.25,0.33,0.25,0.183303,0.42,0.33
10,0,0,0,0.75,0.5,0,0.75,0.5,0.5,0,0.25,0,0.25,0.5,0.75,0.25,0,0.5,0,0.5,0.5,0.25,0.25,0.25,0.25,0.3,0.25,0.254951,0.45,0.3
11,0,0.5,0.75,0,0,0.5,0.25,0.25,0.75,0.25,0.25,0.5,0.25,0,0,1,0.5,0,0.25,0,0.25,0.25,0.5,0.25,0,0.29,0.25,0.270924,0.71,0.29
12,0.25,0.5,0.25,0.5,0,0.75,0.25,0.25,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0.25,0.5,0.5,0.5,0.75,0.25,0.5,0.25,0.75,0.75,0.45,0.5,0.212132,0.3,0.45
13,0.75,0,0.75,0.75,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0,0.75,0,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.5,0.43,0.5,0.229347,0.32,0.43
14,0.25,0.5,0,0.5,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0,0.25,0.5,0.25,0.31,0.25,0.162481,0.19,0.31
15,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0,0.25,0.25,0.25,0.25,0,0.5,0.25,0,0.25,0.75,0,0.25,0.25,0.75,0.25,0.29,0.25,0.195959,0.46,0.29
16,0.5,0,0.25,0,0,0,0.75,0.25,0.75,0.5,0.25,0.5,0,0.5,0,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.29,0.25,0.22,0.46,0.29
17,0.5,0.25,0.5,0,0.75,0.5,0,0.25,0.5,0,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.25,0.5,0.75,0.25,0.5,0.5,0,0.39,0.5,0.224499,0.36,0.39
18,1,0,1,0.25,0.5,0.25,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.25,0.5,0.75,0.5,1,0.5,0.58,0.5,0.242074,0.42,0.58
19,0.25,0.5,0.5,0,0.5,0.25,1,0.75,0.5,0.75,0.75,0.25,0.5,0.5,0.5,0.25,0.25,1,0.75,0.5,0.25,0.5,0.25,0,0.75,0.48,0.5,0.263818,0.52,0.48
20,0.25,0.5,1,1,0.75,0.5,0.75,0.5,0.5,0.75,0.25,0.75,0.5,0.75,0.5,0.5,0.75,0,1,0.25,0.5,0.5,0.5,0.25,0,0.54,0.5,0.270924,0.46,0.54
