Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.333333,0.333333,0,0.333333,0,0,0.333333,0,0,0.666667,0.666667,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.666667,0.333333,0.333333,0.306667,0.333333,0.229395,0.36,0.306667
2,0,0,0.333333,0.333333,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0.333333,0,0.666667,0,0,0.666667,0.333333,0.666667,0,0.666667,0.333333,0.333333,0.24,0.333333,0.24074,0.426667,0.24
3,0.666667,0.666667,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0,0.666667,0.666667,0.333333,0.666667,0.333333,0,0.333333,0,0.666667,0.666667,0.333333,0.666667,0.413333,0.333333,0.236267,0.253333,0.413333
4,0.666667,0.666667,0,0.666667,0,0.333333,0,0.333333,0.666667,0.666667,0,0.333333,0.666667,0,0.666667,0.333333,0.666667,0.333333,0.666667,0,0.666667,0.666667,0.333333,0.666667,0.333333,0.413333,0.333333,0.271293,0.253333,0.413333
5,0.666667,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,1,0.666667,1,0.666667,0.666667,0.333333,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.666667,1,0.626667,0.666667,0.195959,0.373333,0.293333
6,0.333333,0.333333,0.333333,1,1,1,0,0.333333,0.333333,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.666667,1,0.333333,0.333333,0.666667,0,0.506667,0.333333,0.284722,0.493333,0.506667
7,1,0.666667,0.666667,0,0.666667,0.666667,0.666667,0,1,1,0.333333,0.666667,0.333333,0.666667,0.333333,0.333333,1,0.666667,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,0.56,0.666667,0.278408,0.44,0.56
8,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,1,1,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.666667,0.666667,1,0.333333,0.333333,0.666667,0.666667,0.666667,1,0.666667,0.586667,0.666667,0.254384,0.413333,0.586667
9,1,0.666667,1,1,0.333333,0.666667,1,0.666667,1,0.666667,0,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,1,0.666667,0.666667,1,0.666667,1,0.666667,0.333333,0.68,0.666667,0.27455,0.32,0.68
10,1,1,1,1,0.666667,1,1,1,0.666667,0.666667,0.666667,0.666667,0.333333,1,0.666667,0.333333,1,0.333333,0.666667,1,1,1,1,0.333333,0.666667,0.786667,1,0.247296,0.213333,0.453333
11,0.666667,1,0.666667,1,0.333333,1,0.666667,0.666667,1,0.666667,1,0.666667,0.333333,0.666667,1,0.666667,0.666667,1,0.333333,1,1,0.666667,0.666667,0.666667,0.333333,0.733333,0.666667,0.23094,0.266667,0.4
12,1,0.333333,0.666667,1,0.666667,1,1,0.333333,1,0.666667,0.666667,0.666667,0.666667,0.666667,1,0.333333,1,0.666667,0.666667,0.666667,0.666667,0.666667,1,0.666667,0.666667,0.733333,0.666667,0.210819,0.266667,0.4
13,0.666667,1,0.333333,0.666667,1,0.666667,0.666667,1,1,1,1,1,1,0.666667,1,1,0.666667,0.666667,1,0.333333,0.666667,0.333333,1,0.333333,0.666667,0.773333,0.666667,0.244404,0.226667,0.44
14,1,0.666667,1,1,0.666667,1,0.333333,0.666667,0.666667,0.666667,1,1,0.666667,0.666667,1,1,0.666667,1,0.333333,1,0.666667,0.666667,0,1,1,0.773333,0.666667,0.261958,0.226667,0.773333
15,0.666667,0.666667,0.666667,1,0.666667,1,1,1,0.333333,1,1,0.333333,0.666667,0.666667,0.666667,0.333333,0.666667,0.666667,1,0.333333,0.333333,0.666667,0.666667,1,0.666667,0.706667,0.666667,0.237019,0.293333,0.373333
16,1,1,0.666667,1,1,0.666667,0.666667,1,0.666667,0.666667,0.666667,1,1,1,0.666667,1,1,1,0.333333,0.666667,1,0.333333,1,0.666667,0.666667,0.813333,1,0.212498,0.186667,0.48
17,1,1,1,0.666667,0.333333,1,0.666667,0.666667,1,0.666667,0,0.333333,1,1,1,1,1,0.666667,0.666667,0.666667,0.666667,0.666667,0,0.666667,1,0.733333,0.666667,0.298142,0.266667,0.733333
18,1,1,0.666667,0.666667,1,0.333333,1,1,0.666667,0.666667,0.666667,1,0.666667,1,1,0.666667,0.666667,0.666667,0.666667,0.333333,0.666667,0.666667,0.666667,0.666667,1,0.76,0.666667,0.200444,0.24,0.426667
19,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,1,1,1,1,1,1,0.666667,1,1,1,0.666667,1,0.333333,1,1,1,0.666667,0.666667,0.813333,1,0.212498,0.186667,0.48
20,1,0.333333,0.666667,0,1,1,1,0.666667,1,1,1,0.666667,1,1,1,1,0.666667,1,1,1,1,1,1,1,1,0.88,1,0.247296,0.12,0.88
