Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.666667,0.666667,0.333333,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0,0.666667,0,0.333333,0.666667,0.333333,0,0,0,0,0,0,0,0.213333,0,0.247296,0.453333,0.213333
2,0.333333,0.333333,0,0.333333,1,0.333333,0.333333,0.666667,0.666667,0.666667,0,0.666667,0.666667,0.333333,0,0.666667,0.333333,0.333333,0.666667,0,0,0.333333,0.333333,0.333333,0.333333,0.386667,0.333333,0.261279,0.613333,0.386667
3,0.333333,0,0.333333,0.333333,0,0.666667,0,0,0.666667,0,0,0,0.666667,0.333333,0.666667,0.666667,0,0.333333,0,0,0.333333,0,0.333333,0,0.666667,0.253333,0.333333,0.271293,0.413333,0.253333
4,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,0,0.333333,0,0.666667,0.666667,0,0.666667,0.666667,0.333333,0,0,0.666667,0.333333,0.333333,0.249444,0.333333,0.333333
5,0,0.333333,0.333333,0,0,0.333333,0.333333,0.666667,0,0,0,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.333333,0.28,0.333333,0.203961,0.386667,0.28
6,0.333333,0.333333,0.666667,0,0,0,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0,0.24,0.333333,0.22151,0.426667,0.24
7,0,0.666667,0.333333,0.333333,0.666667,0.666667,0,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0,0,0.333333,0.333333,0,0,0.333333,0.666667,0.333333,0.333333,0.666667,0.293333,0.333333,0.237019,0.373333,0.293333
8,0.333333,0.333333,0.333333,1,0,0.666667,0.333333,0.333333,1,0.333333,0.333333,0.666667,1,1,0.666667,1,0.666667,1,0.666667,0.666667,0.666667,0,0.333333,0.666667,0.333333,0.573333,0.666667,0.305796,0.426667,0.573333
9,0.666667,0.666667,0.333333,0.666667,1,0.666667,0.666667,0.666667,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,1,0.666667,0.333333,1,0.333333,0.666667,1,0.666667,0.666667,1,1,0.666667,0.666667,0.23094,0.333333,0.333333
10,0.666667,0.666667,0.666667,1,0,0.333333,0.333333,0.666667,0.333333,1,0.333333,0.666667,0.333333,0.666667,1,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.666667,0.666667,0.333333,0.333333,0.533333,0.666667,0.249444,0.466667,0.533333
11,1,0.666667,0.333333,1,0.666667,0.666667,0.333333,0.333333,0.666667,0.333333,0.666667,0.666667,0.333333,0.666667,0.666667,0.333333,0.666667,0.333333,0.333333,0.333333,0.666667,0.666667,0.666667,1,0.333333,0.573333,0.666667,0.22151,0.426667,0.24
12,0.333333,0.666667,0.333333,0.333333,1,0.333333,1,0.666667,1,0.666667,0.666667,0.333333,0.666667,1,0,0.666667,0.666667,0.333333,1,0.666667,1,0.666667,0.666667,0.666667,0.333333,0.626667,0.666667,0.271948,0.373333,0.626667
13,0.666667,0.666667,0.666667,0.333333,0.666667,0.333333,0.333333,0.333333,0,1,1,0.666667,1,0.666667,0.666667,1,0.666667,0.666667,0.333333,0.333333,0.666667,0.333333,0.333333,1,0.666667,0.6,0.666667,0.266667,0.4,0.6
14,1,0.666667,0.666667,1,0.666667,0.666667,0.666667,1,1,0.333333,0.333333,0.666667,0.666667,0.666667,1,0.666667,0.666667,0.666667,1,1,0.333333,0.333333,1,1,0.333333,0.72,0.666667,0.243676,0.28,0.386667
15,0.666667,1,0.333333,0.666667,0.333333,0.666667,0.666667,0.333333,1,0.666667,0.333333,0.333333,0.666667,0.333333,0.666667,1,1,0,0.333333,0.333333,1,1,0.333333,0.666667,1,0.613333,0.666667,0.293333,0.386667,0.613333
16,0.666667,0.333333,0.666667,0.333333,0.333333,0.666667,1,0.333333,0.333333,0.333333,0.666667,0,0.666667,0.666667,1,0,0.333333,0.333333,1,0.666667,1,0.666667,1,0.666667,0.666667,0.573333,0.666667,0.290899,0.426667,0.573333
17,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.666667,1,0.333333,1,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,1,0.666667,1,0.666667,0,1,0.666667,1,0.333333,0.64,0.666667,0.26533,0.36,0.64
18,0.666667,0.666667,0.666667,1,0.333333,0.666667,1,0.666667,0.333333,1,0.666667,1,0.666667,0.666667,0.666667,0.666667,1,0.666667,1,0.666667,1,1,1,0,1,0.746667,0.666667,0.254384,0.253333,0.746667
19,0.666667,0.666667,1,1,0.666667,1,1,1,0.666667,1,0.333333,1,0.333333,0.666667,1,0.333333,1,0.666667,0.666667,1,0.666667,1,1,0.666667,0.666667,0.786667,0.666667,0.228619,0.213333,0.453333
20,1,0.666667,1,0.666667,0.666667,1,1,1,0.333333,1,1,0.333333,0.666667,1,0.666667,0.333333,1,0.333333,0.666667,0.666667,1,0.666667,0.666667,1,1,0.773333,0.666667,0.244404,0.226667,0.44
