Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.166667,0.333333,0.333333,0,0,0.166667,0.333333,0.166667,0.333333,0.333333,0,0.166667,0.166667,0,0.333333,0,0.166667,0.166667,0.166667,0,0,0,0.333333,0.166667,0.166667,0.16,0.166667,0.128927,0.173333,0.16
2,0.333333,0,0.666667,0.166667,0,0.333333,0,0,0.166667,0.333333,0.166667,0.166667,0.166667,0.166667,0,0,0,0.333333,0.166667,0.333333,0,0.333333,0.333333,0.166667,0.166667,0.18,0.166667,0.162754,0.486667,0.18
3,0.333333,0.333333,0.166667,0.166667,0.333333,0.333333,0.166667,0.333333,0.333333,0.5,0.166667,0,0,0.166667,0.166667,0.333333,0.333333,0.333333,0.333333,0,0.5,0,0.5,0,0.5,0.253333,0.333333,0.164114,0.246667,0.253333
4,0.166667,0,0.5,0,0.333333,0.333333,0.166667,0.166667,0,0.166667,0.333333,0.5,0.333333,0.333333,0.166667,0.166667,0.333333,0.833333,0.5,0.333333,0.166667,0.333333,0.5,0,0,0.266667,0.333333,0.2,0.566667,0.266667
5,0.166667,0.5,0,0.5,0.166667,0.333333,0.166667,0,0.5,0.333333,0.166667,0.333333,0.333333,0.166667,0.5,0,0.5,0.333333,0.333333,0.5,0.166667,0.166667,0.833333,0.166667,0.333333,0.3,0.333333,0.194365,0.533333,0.3
6,0.166667,0.333333,0.166667,0.5,0.166667,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.166667,0,0,0.333333,0.666667,0.5,0.666667,0.333333,0.333333,0.166667,0,0.5,0.5,0.333333,0.32,0.333333,0.182087,0.346667,0.32
7,0.333333,0.166667,0.5,0.333333,0.333333,0.5,0.166667,0.333333,0.666667,0.166667,0.166667,0.5,0.333333,0.333333,0.166667,0.5,0.833333,0.5,0.333333,0.5,0.166667,0.666667,0.333333,0.666667,0.333333,0.393333,0.333333,0.181842,0.44,0.226667
8,0.166667,0.5,0.166667,0.5,0.666667,0.666667,0.5,0.666667,0.5,0.166667,0.5,0.333333,0.333333,0,0.333333,0.166667,0.333333,0.5,0.166667,0.666667,0.166667,0.333333,0.333333,0.166667,0.666667,0.38,0.333333,0.197315,0.286667,0.38
9,0.5,0.166667,0.333333,0.333333,0.166667,0.333333,0.333333,0.5,0.333333,0.333333,0.5,0.5,0.166667,0.333333,0.333333,0.666667,0.333333,0.166667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.346667,0.333333,0.114698,0.32,0.18
10,0.833333,0.166667,0.5,0.166667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.833333,0.666667,0.5,0.166667,0,0.5,0.333333,0.333333,0.5,0.333333,0.5,0.5,0.166667,0.333333,0.333333,0.373333,0.333333,0.206989,0.46,0.373333
11,0,0.333333,0.333333,0.333333,0.666667,0.166667,0.333333,0.666667,0.333333,0.333333,0.5,0.166667,0.166667,0.5,0.333333,0.333333,0.166667,0.333333,0.333333,0.5,0.5,0.666667,0.5,0.166667,0.333333,0.36,0.333333,0.167862,0.306667,0.36
12,0.666667,0.333333,0.333333,0.166667,0.666667,0.166667,0.166667,0.333333,0,0.5,0.666667,0.5,0.333333,0.333333,0.5,0.666667,0.666667,0.5,0.333333,0.166667,0.333333,0.333333,0.833333,0.333333,0.333333,0.406667,0.333333,0.200444,0.426667,0.406667
13,0.666667,0.5,0.333333,0.333333,0.666667,0.333333,0.333333,0.5,0.666667,0.5,0.5,0.5,0.333333,0.333333,0.166667,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.833333,0.333333,0.666667,0.46,0.333333,0.165193,0.373333,0.293333
14,0.5,0.5,0.833333,0.666667,1,0.5,0.666667,0.333333,0.333333,0.333333,0.5,0.333333,0.166667,0.666667,0.666667,0.5,0.666667,1,0.5,0.333333,0.5,0.5,0.166667,0.5,0.5,0.526667,0.5,0.209125,0.473333,0.36
15,0.5,0.166667,1,0.666667,0.166667,0.5,0.833333,0.333333,0.666667,0.666667,0.833333,0.5,0,1,0.666667,0.666667,0.833333,0.166667,0.166667,0.666667,0.666667,0.5,0.5,0.5,0.666667,0.553333,0.666667,0.261279,0.446667,0.553333
16,0.666667,0.166667,0.333333,0.833333,0.5,0.166667,0.333333,0.5,0.666667,0.666667,0.5,0.833333,0.5,1,0.5,0.333333,0.5,0.666667,0.666667,0.333333,0.666667,0.5,0.666667,0.333333,0.5,0.533333,0.5,0.2,0.466667,0.366667
17,0.5,0.833333,0.666667,0.333333,0.666667,0.5,0.666667,0.333333,0.666667,0.833333,0.5,0.333333,0.333333,0.5,0.5,0.5,0.333333,0.5,0.5,0.666667,0.5,0.666667,1,0.666667,0.666667,0.566667,0.5,0.169967,0.433333,0.233333
18,1,0.833333,0.666667,0.5,0.166667,0.666667,0.666667,0.5,0.333333,0.666667,0.833333,0.333333,0.833333,0.833333,0.666667,0.5,0.5,0.5,0.666667,0.333333,0.666667,0.333333,0.166667,0.333333,0.833333,0.573333,0.666667,0.22151,0.426667,0.406667
19,0.833333,0.5,0.666667,0.666667,0.833333,0.666667,0.666667,0.666667,0.833333,0.666667,0.833333,0.5,0.833333,0.5,0.833333,0.5,0.5,1,0.666667,0.833333,0.833333,0.666667,0.5,0.666667,0.666667,0.693333,0.666667,0.138884,0.306667,0.193333
20,0.833333,0.666667,0.833333,0.5,0.333333,0.833333,0.833333,0.666667,0.833333,0.5,0.666667,0.833333,1,0.666667,0.833333,0.5,0.833333,0.333333,0.666667,0.333333,0.666667,0.333333,0.833333,0.833333,0.833333,0.68,0.666667,0.193907,0.32,0.346667
