Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.333333,0.333333,0,0,0,0,0.04,0,0.108321,0.293333,0.04
2,0.333333,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0.333333,0.333333,0,0,0,0,0,0.08,0,0.142361,0.253333,0.08
3,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0.333333,0.333333,0,0,0,0,0,0.666667,0.666667,0,0,0,0,0,0.133333,0,0.210819,0.533333,0.133333
4,0.333333,0,0,0.333333,0,0,0.333333,0,0.333333,0.666667,0,0,0,0.333333,0,0,0.333333,0.333333,0,0,0,0,0,0.333333,0.333333,0.146667,0,0.190438,0.52,0.146667
5,0.333333,0,0.666667,0,0,0,0.333333,0,0.333333,0.333333,0,0.666667,0,0,0,0.666667,0.333333,0,0.666667,0.333333,0,0,0,0.666667,0.333333,0.226667,0,0.261958,0.44,0.226667
6,0,0,0,0.666667,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0.666667,0.666667,0.333333,0,1,0.333333,0,0.333333,0.333333,0,0.266667,0.333333,0.266667,0.733333,0.266667
7,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0.666667,0,0,0,0.333333,0,0,0,0.666667,0.333333,0.333333,0.2,0.333333,0.210819,0.466667,0.2
8,0.666667,0.333333,0.666667,0,0,0,0,0.333333,0.333333,0,1,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0,0.333333,0.333333,0,0,0,0.213333,0,0.264659,0.786667,0.213333
9,0.333333,0.666667,0.333333,0,0.666667,0,0.666667,0,0,0,0.333333,0.666667,0,0.666667,0,0,0,0.666667,0,0,0.333333,1,0.333333,0,0.333333,0.28,0.333333,0.308113,0.72,0.28
10,0,0,0,0,0,0.333333,0,0.666667,0.666667,0.666667,0.666667,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.666667,0,0.666667,0.666667,0.293333,0.333333,0.271948,0.373333,0.293333
11,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0,0.333333,0.266667,0.333333,0.163299,0.4,0.266667
12,0.333333,0.333333,0.333333,0.333333,0,0,0.666667,0.333333,0,0,0.333333,0.666667,0.666667,0.666667,0,0,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.23094,0.333333,0.333333
13,0.333333,0.666667,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0.333333,0.333333,0.333333,0,0,0.666667,0,0.333333,0.666667,0,0.666667,0.333333,0.333333,0,0.333333,0.266667,0.333333,0.23094,0.4,0.266667
14,0.333333,0.333333,0.333333,0,0,0.333333,0.666667,0,0.333333,0.666667,0,0.333333,0.333333,0,0.333333,0.666667,0,0,0,0.333333,0.333333,0,0,0,0.333333,0.226667,0.333333,0.225487,0.44,0.226667
15,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0,0,0.666667,0,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.333333,0,0.333333,0,0.333333,0.333333,0.666667,0.346667,0.333333,0.220706,0.32,0.346667
16,0.666667,0,0,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.666667,0.333333,0,1,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.346667,0.333333,0.257854,0.653333,0.346667
17,0.333333,0.666667,1,0.333333,0.333333,0.666667,0,0.666667,0,0.666667,0.333333,0.666667,0,0.666667,0.666667,0.666667,0.666667,0,0.666667,0,0.333333,0.666667,0.666667,0.333333,0.333333,0.453333,0.666667,0.280951,0.546667,0.453333
18,0.333333,0,0.333333,0.333333,0.666667,0.333333,0,0,0,0.333333,0,0,0.333333,0.666667,0.333333,0,0,0.333333,0.333333,0.333333,0.666667,0,0,0.333333,0,0.226667,0.333333,0.225487,0.44,0.226667
19,0.666667,0.333333,0.333333,0,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0.306667,0.333333,0.229395,0.36,0.306667
20,0,0,0.333333,0.666667,0.333333,0.666667,0.333333,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.333333,0,0,0.333333,0.333333,0,0.333333,0.293333,0.333333,0.21746,0.373333,0.293333
