Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.263158,0.263158,0.157895,0.0526316,0,0.157895,0.210526,0.105263,0.210526,0.315789,0.157895,0.0526316,0.105263,0.157895,0.157895,0.210526,0.263158,0.210526,0.157895,0.157895,0.263158,0,0.210526,0.105263,0.157895,0.164211,0.157895,0.0806071,0.151579,0.164211
2,0.263158,0.157895,0.368421,0.263158,0.210526,0.263158,0.157895,0.210526,0.210526,0.368421,0.105263,0.210526,0.210526,0.210526,0.0526316,0.368421,0.210526,0.263158,0.368421,0.263158,0.210526,0.210526,0.368421,0.210526,0.157895,0.235789,0.210526,0.0816994,0.132632,0.183158
3,0.368421,0.368421,0.315789,0.263158,0.315789,0.263158,0.157895,0.263158,0.473684,0.315789,0.157895,0.210526,0.157895,0.263158,0.368421,0.368421,0.263158,0.263158,0.315789,0.210526,0.263158,0.157895,0.368421,0.105263,0.473684,0.282105,0.263158,0.0940089,0.191579,0.176842
4,0.368421,0.315789,0.263158,0.263158,0.263158,0.263158,0.157895,0.210526,0.368421,0.421053,0.157895,0.421053,0.263158,0.210526,0.421053,0.210526,0.473684,0.578947,0.368421,0.263158,0.315789,0.263158,0.263158,0.263158,0.368421,0.309474,0.263158,0.099104,0.269474,0.151579
5,0.210526,0.421053,0.368421,0.315789,0.263158,0.315789,0.368421,0.263158,0.421053,0.368421,0.210526,0.578947,0.421053,0.368421,0.421053,0.368421,0.368421,0.421053,0.421053,0.421053,0.263158,0.210526,0.473684,0.421053,0.421053,0.364211,0.368421,0.0879688,0.214737,0.153684
6,0.263158,0.315789,0.368421,0.578947,0.421053,0.421053,0.210526,0.315789,0.368421,0.368421,0.368421,0.368421,0.315789,0.210526,0.368421,0.578947,0.526316,0.421053,0.368421,0.473684,0.315789,0.210526,0.421053,0.368421,0.315789,0.370526,0.368421,0.097025,0.208421,0.16
7,0.421053,0.315789,0.473684,0.263158,0.368421,0.526316,0.315789,0.263158,0.526316,0.526316,0.421053,0.368421,0.263158,0.473684,0.421053,0.368421,0.578947,0.421053,0.263158,0.421053,0.263158,0.631579,0.421053,0.526316,0.473684,0.412632,0.421053,0.104926,0.218947,0.149474
8,0.368421,0.526316,0.473684,0.526316,0.421053,0.473684,0.473684,0.578947,0.526316,0.210526,0.578947,0.368421,0.368421,0.473684,0.473684,0.368421,0.473684,0.631579,0.368421,0.421053,0.368421,0.421053,0.368421,0.421053,0.473684,0.446316,0.473684,0.0882203,0.185263,0.235789
9,0.631579,0.526316,0.526316,0.473684,0.421053,0.421053,0.473684,0.473684,0.473684,0.421053,0.368421,0.473684,0.421053,0.526316,0.421053,0.526316,0.421053,0.578947,0.315789,0.421053,0.578947,0.578947,0.578947,0.421053,0.473684,0.477895,0.473684,0.0743131,0.153684,0.162105
10,0.578947,0.368421,0.473684,0.578947,0.315789,0.315789,0.526316,0.631579,0.526316,0.526316,0.631579,0.526316,0.368421,0.473684,0.526316,0.421053,0.421053,0.421053,0.368421,0.578947,0.578947,0.578947,0.421053,0.368421,0.473684,0.48,0.473684,0.0945261,0.151579,0.164211
11,0.368421,0.578947,0.526316,0.473684,0.473684,0.526316,0.421053,0.526316,0.684211,0.368421,0.578947,0.473684,0.263158,0.473684,0.421053,0.526316,0.473684,0.421053,0.315789,0.473684,0.578947,0.526316,0.526316,0.421053,0.315789,0.469474,0.473684,0.094056,0.214737,0.206316
