Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,303,313,0,317,211,250,267,232,222,0,270,253,247,264,297,231,253,0,276,0,296,201,233,0,272,208.32,250,108.151,108.68,208.32
2,273,222,0,238,227,307,221,294,199,0,249,223,249,296,239,316,231,0,351,0,279,191,217,0,237,202.36,231,107.674,148.64,202.36
3,254,265,0,269,235,253,253,227,215,0,289,264,290,297,281,221,219,0,244,0,319,254,206,0,246,204.04,246,105.327,114.96,204.04
4,246,283,0,281,254,227,275,241,224,0,250,160,265,307,228,277,209,0,293,0,239,201,194,0,238,195.68,238,102.926,111.32,195.68
5,211,188,0,250,168,232,173,271,207,0,191,216,182,236,210,237,165,0,275,0,247,191,193,0,181,168.96,191,89.3355,106.04,168.96
6,203,281,0,250,205,259,199,257,187,0,164,177,233,252,242,219,170,0,199,0,287,199,224,0,179,175.44,199,93.4122,111.56,175.44
7,214,205,0,172,168,218,199,276,193,0,200,183,244,221,207,219,147,0,225,0,224,162,193,0,143,160.52,193,85.0976,115.48,160.52
8,218,275,0,171,223,189,226,193,212,0,180,192,260,249,216,217,155,0,179,0,232,196,166,0,147,163.84,192,87.2012,111.16,163.84
9,176,187,0,195,189,193,156,183,180,0,194,184,199,193,217,205,152,0,145,0,186,180,167,0,173,146.16,180,74.6982,70.84,146.16
10,187,216,0,225,143,195,192,192,158,0,225,186,224,180,196,211,180,0,168,0,242,182,171,0,184,154.28,184,80.1252,87.72,154.28
11,153,197,0,208,200,215,204,157,155,0,221,138,213,226,210,236,151,0,260,0,199,169,169,0,182,154.52,182,82.3311,105.48,154.52
12,155,218,0,200,208,209,159,168,148,0,137,157,214,192,197,181,178,0,218,0,245,139,148,0,141,144.48,159,77.467,100.52,144.48
13,178,192,0,162,168,170,208,149,154,0,175,160,195,197,178,159,155,0,162,0,177,170,127,0,173,136.36,162,70.093,71.64,136.36
14,203,148,0,204,171,182,193,216,159,0,159,180,167,214,218,219,185,0,145,0,200,176,140,0,184,146.52,176,76.4487,72.48,146.52
15,159,206,0,166,201,199,179,176,164,0,193,188,211,167,149,151,181,0,225,0,197,161,195,0,165,145.32,167,74.9964,79.68,145.32
16,217,179,0,153,215,191,170,198,219,0,184,149,220,180,222,193,166,0,196,0,179,167,165,0,160,148.92,179,77.2005,73.08,148.92
17,205,224,0,199,168,192,183,153,158,0,206,166,191,188,165,163,164,0,210,0,228,170,157,0,180,146.8,168,76.0358,81.2,146.8
18,190,213,0,122,149,186,166,212,186,0,164,141,170,188,187,145,153,0,190,0,199,172,173,0,176,139.28,170,72.6325,73.72,139.28
19,137,158,0,179,152,197,136,190,180,0,202,147,184,144,179,193,145,0,180,0,165,99,176,0,135,131.12,152,69.518,70.88,131.12
20,191,175,0,165,188,225,142,200,124,0,216,158,162,173,197,211,145,0,191,0,191,125,150,0,151,139.2,162,74.1512,85.8,139.2
