Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.521452,0.587859,0,0.347003,0.578199,0.352,0.539326,0.586207,0.576577,0,0.588889,0.588933,0.37247,0.314394,0.377104,0.545455,0.529644,0,0.369565,0,0.344595,0.532338,0.480687,0,0.544118,0.387073,0.480687,0.213048,0.20186,0.387073
2,0.545788,0.635135,0,0.369748,0.537445,0.322476,0.547511,0.598639,0.603015,0,0.522088,0.609865,0.381526,0.371622,0.41841,0.537975,0.497835,0,0.364672,0,0.408602,0.570681,0.488479,0,0.523207,0.394189,0.488479,0.214145,0.240946,0.394189
3,0.559055,0.630189,0,0.360595,0.604255,0.343874,0.549407,0.585903,0.530233,0,0.567474,0.541667,0.362069,0.343434,0.284698,0.565611,0.484018,0,0.401639,0,0.291536,0.511811,0.519417,0,0.50813,0.381801,0.484018,0.213638,0.248388,0.381801
4,0.593496,0.575972,0,0.348754,0.566929,0.330396,0.527273,0.605809,0.558036,0,0.56,0.49375,0.358491,0.355049,0.368421,0.563177,0.511962,0,0.348123,0,0.401674,0.467662,0.494845,0,0.441176,0.37884,0.441176,0.207107,0.226969,0.37884
5,0.578199,0.579787,0,0.352,0.571429,0.353448,0.566474,0.601476,0.536232,0,0.554974,0.481481,0.373626,0.364407,0.352381,0.548523,0.593939,0,0.370909,0,0.307692,0.534031,0.440415,0,0.519337,0.38323,0.440415,0.211238,0.218246,0.38323
6,0.581281,0.558719,0,0.348,0.487805,0.339768,0.603015,0.575875,0.529412,0,0.567073,0.474576,0.321888,0.365079,0.409091,0.561644,0.5,0,0.407035,0,0.317073,0.407035,0.464286,0,0.497207,0.372635,0.409091,0.203944,0.230381,0.372635
7,0.556075,0.526829,0,0.354651,0.5,0.330275,0.59799,0.601449,0.53886,0,0.49,0.57377,0.32377,0.361991,0.318841,0.579909,0.55102,0,0.328889,0,0.352679,0.438272,0.435233,0,0.482517,0.369721,0.435233,0.205682,0.231728,0.369721
8,0.646789,0.585455,0,0.362573,0.506726,0.338624,0.557522,0.57513,0.466981,0,0.627778,0.541667,0.365385,0.349398,0.388889,0.502304,0.425806,0,0.335196,0,0.323276,0.5,0.463855,0,0.435374,0.371949,0.425806,0.206353,0.27484,0.371949
9,0.630682,0.582888,0,0.374359,0.544974,0.300518,0.480769,0.557377,0.516667,0,0.556701,0.51087,0.331658,0.357513,0.391705,0.565854,0.453947,0,0.310345,0,0.344086,0.422222,0.586826,0,0.50289,0.372914,0.422222,0.207437,0.257768,0.372914
10,0.524064,0.555556,0,0.351111,0.48951,0.323077,0.494792,0.53125,0.563291,0,0.506667,0.510753,0.357143,0.283333,0.352041,0.483412,0.472222,0,0.315476,0,0.347107,0.478022,0.432749,0,0.48913,0.354428,0.432749,0.19344,0.208863,0.354428
11,0.490196,0.583756,0,0.288462,0.53,0.376744,0.558824,0.503185,0.496774,0,0.479638,0.463768,0.380282,0.318584,0.32381,0.521186,0.523179,0,0.4,0,0.336683,0.47929,0.514793,0,0.56044,0.365184,0.463768,0.198899,0.218573,0.365184
12,0.554839,0.522936,0,0.38,0.576923,0.330144,0.54717,0.607143,0.567568,0,0.408759,0.458599,0.345794,0.322917,0.35533,0.535912,0.438202,0,0.316514,0,0.277551,0.395683,0.5,0,0.496454,0.357537,0.395683,0.199884,0.249605,0.357537
13,0.544944,0.557292,0,0.425926,0.494048,0.317647,0.572115,0.489933,0.441558,0,0.531429,0.53125,0.317949,0.294416,0.348315,0.459119,0.535484,0,0.333333,0,0.265537,0.4,0.488189,0,0.491329,0.353593,0.425926,0.196285,0.218523,0.353593
14,0.492611,0.385135,0,0.303922,0.538012,0.296703,0.481865,0.523148,0.509434,0,0.484277,0.511111,0.269461,0.299065,0.37156,0.506849,0.535135,0,0.358621,0,0.315,0.443182,0.528571,0,0.538043,0.347668,0.385135,0.193564,0.190375,0.347668
15,0.509434,0.538835,0,0.283133,0.482587,0.311558,0.50838,0.573864,0.603659,0,0.554404,0.452128,0.298578,0.377246,0.328859,0.576159,0.486188,0,0.328889,0,0.299492,0.503106,0.497436,0,0.49697,0.360436,0.452128,0.202923,0.243222,0.360436
16,0.548387,0.530726,0,0.366013,0.595349,0.376963,0.570588,0.580808,0.47032,0,0.516304,0.483221,0.277273,0.311111,0.328829,0.580311,0.536145,0,0.377551,0,0.312849,0.48503,0.472727,0,0.4875,0.36832,0.47032,0.204783,0.227029,0.36832
17,0.565854,0.584821,0,0.341709,0.464286,0.322917,0.508197,0.614379,0.462025,0,0.524272,0.578313,0.371728,0.356383,0.333333,0.552147,0.530488,0,0.333333,0,0.29386,0.4,0.484076,0,0.527778,0.365996,0.4,0.204099,0.248383,0.365996
18,0.584211,0.577465,0,0.286885,0.543624,0.284946,0.512048,0.566038,0.44086,0,0.512195,0.539007,0.358824,0.308511,0.31016,0.537931,0.503268,0,0.315789,0,0.346734,0.401163,0.439306,0,0.454545,0.35294,0.401163,0.199269,0.23127,0.35294
19,0.49635,0.588608,0,0.368715,0.486842,0.279188,0.536765,0.494737,0.494444,0,0.455446,0.442177,0.315217,0.284722,0.351955,0.523316,0.489655,0,0.322222,0,0.333333,0.525253,0.465909,0,0.451852,0.348268,0.442177,0.192017,0.240339,0.348268
20,0.502618,0.554286,0,0.29697,0.473404,0.271111,0.542254,0.56,0.548387,0,0.527778,0.5,0.302469,0.317919,0.309645,0.507109,0.496552,0,0.303665,0,0.272251,0.536,0.486667,0,0.516556,0.353026,0.473404,0.20163,0.206974,0.353026
