Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.5,0.75,1,1,0.5,0.5,0.75,1,0.25,0.5,1,0.75,0.75,0.5,1,0.25,0.5,0.25,1,0.25,0.5,0.75,0.75,0.75,0.75,0.66,0.75,0.253772,0.34,0.41
2,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,0.5,1,1,0.75,0.5,0.75,1,0.25,0.5,0.75,0.75,0.5,1,0.73,0.75,0.244131,0.27,0.48
3,0.5,0.5,1,0.25,0.5,0.75,0.75,0.5,0.5,0.25,1,0.5,0.75,1,0.75,0.75,0.75,0,0.75,1,0.5,1,0.5,0.5,0.5,0.63,0.5,0.256125,0.37,0.63
4,0.5,0.25,0.5,0.75,0.5,0.25,1,0.5,0,0.5,0.75,0.25,1,0.75,0.25,0.5,0.25,0.75,0.5,0.5,0.75,0.75,0.5,0,0.25,0.5,0.5,0.264575,0.5,0.5
5,0.25,0.25,0.25,0.75,0,0.75,0.75,0.75,0.75,0.25,0.25,0.5,0,0.75,0.5,0.25,0.5,0.5,1,0.75,0.75,0.5,0.75,0,0.5,0.49,0.5,0.278209,0.51,0.49
6,0.5,0.25,0.25,0.25,0.25,0.75,0.25,0.5,0.5,0.5,1,0.25,0.25,0.75,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0,0.5,0.5,0.25,0.41,0.5,0.210713,0.59,0.41
7,0.5,0,0.75,0.5,0.75,0.25,0.5,0.5,0.5,0,0,0.5,0.75,0.25,0,0.25,0.5,0.5,0.5,0.25,1,0,0.25,0.25,0.5,0.39,0.5,0.26533,0.61,0.39
8,0.5,0.25,0.5,0.25,0.75,0.5,0.75,0.5,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.75,0.4,0.25,0.212132,0.35,0.4
9,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0,0.25,0.25,0.38,0.5,0.143527,0.12,0.38
10,0.25,0.5,0.75,0,0,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.75,0.25,0.25,0.25,1,0,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.38,0.25,0.235797,0.62,0.38
11,0.25,0.5,0,0.5,0.25,0,0,0,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0,0.5,0.25,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.31,0.25,0.226716,0.44,0.31
12,0,0.25,0.25,0,0.5,0,0.5,0,0.5,0.25,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0,0.5,0.25,0,0.25,0.25,0.19,0.25,0.1772,0.31,0.19
13,0.25,0.75,0,0.25,0.25,0.25,0.25,0,0.5,0.25,0.5,0.5,0.75,0.25,0.25,0.25,0.5,0,0.25,0.25,0.5,0,0.5,0.25,0.25,0.31,0.25,0.20347,0.44,0.31
14,0.25,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0.25,0.5,0.5,0.5,0.25,0,0.25,0,0.25,0.5,0.17,0.25,0.183303,0.33,0.17
15,0.5,0,0.5,0,0.25,0,0.25,0.25,0.25,0.5,0.25,0.25,0,0.5,0.5,0.25,0.25,0,0,0,0.25,0.25,0,0,0.25,0.21,0.25,0.182757,0.29,0.21
16,0.25,0,0,0.25,0.25,0.25,0,0.25,0,0.25,0.5,0,0.5,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.25,0.5,0,0,0.19,0.25,0.162481,0.31,0.19
17,0.25,0.25,0.25,0,0,0.25,0,0.5,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.75,0.15,0,0.187083,0.6,0.15
18,0,0.75,0,0.25,0.25,0.25,0,0.5,0.25,0,0.25,0,0.25,0.25,0.5,0,0,0,0.25,0,0.25,0.25,0,0,0.25,0.18,0.25,0.193907,0.57,0.18
19,0,0,0,0.25,0.25,0.25,0,0.25,0,0.25,0,0,0.5,0,0.25,0.25,0,0,0,0.5,0.5,0.25,0.25,0,0,0.15,0,0.173205,0.35,0.15
20,0.25,0.25,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0.25,0.25,0,0,0.25,1,0,0.25,0,0,0,0.75,0.25,0.18,0.25,0.24,0.82,0.18
