Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.666667,0.666667,1,0.666667,0.666667,0,0.333333,0.666667,0.333333,0.333333,0,0.666667,0.666667,0.333333,0.333333,0,0.666667,0.666667,0.333333,0.666667,0,1,0,0,0.333333,0.44,0.333333,0.308689,0.56,0.44
2,0.666667,0.666667,0.333333,0,0.333333,0,0,0.333333,0,0,0.333333,0.333333,0,0,0.333333,0,0,0.666667,0,0.333333,0,0.666667,0,0,0,0.2,0,0.249444,0.466667,0.2
3,0,0,0,0,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0.666667,0.333333,0.333333,0,0,0,0,0.146667,0,0.190438,0.52,0.146667
4,0,0,0.666667,0,0.666667,0.333333,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0.333333,0,0,0.333333,0,0,0.12,0,0.208273,0.546667,0.12
5,0,0,0.333333,0.333333,0,0,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0,0.666667,0.333333,0,0.0933333,0,0.176887,0.573333,0.0933333
6,0.333333,0,0.333333,0,0,0,0,0,0.666667,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0.666667,0,0,0,0.173333,0,0.213333,0.493333,0.173333
7,0,0,0,0,0.333333,0.333333,0,0,0,0,0,0,0.666667,0,0.333333,0.333333,0,0.333333,0.333333,0.666667,0,0.333333,0,0,0,0.146667,0,0.212498,0.52,0.146667
8,0,0.333333,0.333333,0,0.333333,0.666667,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0,0,0.133333,0,0.188562,0.533333,0.133333
9,0,0,0,0,0.333333,0.333333,0,0.333333,0,0,0,0.333333,0,0,0.333333,0.333333,0.333333,0,0,0,0,0.333333,0,0,0,0.106667,0,0.155492,0.226667,0.106667
10,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0.333333,0.333333,0,0.666667,0.333333,0,0,0,0,0.333333,0,0.0933333,0,0.176887,0.573333,0.0933333
11,0.333333,0,0,0,0.333333,0,0,0.333333,0,0.333333,0,0.333333,0,0,0,0.333333,0,0,0.333333,0,0,0,0.333333,0,0,0.106667,0,0.155492,0.226667,0.106667
12,0,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0.333333,0,0,0,0.333333,0,0,0,0.08,0,0.142361,0.253333,0.08
13,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0.04,0,0.108321,0.293333,0.04
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0.333333,0,0.333333,0,0,0.0533333,0,0.122202,0.28,0.0533333
15,0.333333,0.333333,0,0,0,0,0,0,0.666667,0,0,0.333333,0,0.333333,0,0,0,0,0,0,0.333333,0,0.333333,0,0.333333,0.12,0,0.185712,0.546667,0.12
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0,0,0.0266667,0,0.0904311,0.306667,0.0266667
17,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.0266667,0,0.0904311,0.306667,0.0266667
18,0,0,0,0,0,0,0,0,0.333333,0.333333,0,0,0.333333,0,0,0,0,0,0.333333,0.333333,0,0,0.333333,0,0,0.08,0,0.142361,0.253333,0.08
19,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.0266667,0,0.0904311,0.306667,0.0266667
20,0,0,0.333333,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.108321,0.293333,0.04
