Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.666667,0.333333,0.666667,0.666667,0,1,0.333333,0.333333,0.666667,0,0.333333,0.333333,1,0,1,0,0.333333,0,1,0.44,0.333333,0.322766,0.56,0.44
2,0.333333,0.333333,0.333333,0.666667,0,0.666667,0.666667,0,0,0.333333,0.666667,0.333333,0,0,0.333333,0,0.666667,0.666667,0.333333,0,0.666667,0.333333,0,0.333333,0.666667,0.333333,0.333333,0.266667,0.333333,0.333333
3,0.333333,0.666667,0.666667,0.666667,1,0,0.666667,0.666667,0,0.333333,0.333333,0.666667,0.333333,0.333333,0,0,0.666667,0.333333,0.333333,0.333333,0,1,0,0.333333,0.333333,0.4,0.333333,0.298142,0.6,0.4
4,0.333333,0,0.333333,0.333333,0,0.666667,0.666667,0.333333,0.666667,0,0,0,0,0.666667,0.666667,0.333333,0,0.333333,0.666667,0,0.333333,0.333333,0.666667,1,0,0.333333,0.333333,0.298142,0.666667,0.333333
5,0,0.333333,0,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0.333333,0,0.333333,0,0,0.333333,0,0,0,0.333333,0.133333,0,0.163299,0.2,0.133333
6,0.333333,0.333333,0,0.333333,0.333333,0.666667,0.333333,0,0,0.666667,0.333333,0,0.333333,0,0,0,0.333333,0.333333,0.333333,0.666667,0.333333,0,0,0.333333,0.333333,0.253333,0.333333,0.216641,0.413333,0.253333
7,0.333333,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.333333,0,0.333333,0.333333,0,0,0.333333,0.333333,0,0.106667,0,0.155492,0.226667,0.106667
8,0.333333,0.666667,0,0,0.333333,0.333333,0.666667,0.333333,0,0,0.333333,0.333333,0,0,0,0,0,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.213333,0.333333,0.208273,0.453333,0.213333
9,0,0,0,0,0,0.333333,0,0,0.333333,0,0.333333,0,0.333333,0,0,0,0,0,0,0.333333,0,0.333333,0.333333,0,0,0.0933333,0,0.149666,0.24,0.0933333
10,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0,0,0,0,0.333333,0,0,0.666667,0,0,0.333333,0.333333,0.186667,0.333333,0.190438,0.48,0.186667
11,0,0,0.333333,0,0.333333,0,0,0,0,0,0,0,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0,0.333333,0.133333,0,0.163299,0.2,0.133333
12,0,0,0,0.666667,0,0,0,0.333333,0,0,0,0.333333,0.333333,0,0.666667,0.333333,0,0.333333,0,0,0,0,0.333333,0.333333,0,0.146667,0,0.212498,0.52,0.146667
13,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.333333,0,0.333333,0.666667,0.333333,0,0.333333,0.106667,0,0.181842,0.56,0.106667
14,0,0.333333,0,0,0.333333,0,0.333333,0,0,0.666667,0.333333,0,0,0,0,0,0,0.333333,0,0,0.666667,0.333333,0,0,0,0.133333,0,0.210819,0.533333,0.133333
15,0,0,0.333333,0,0.666667,0.333333,0.333333,0.333333,0,0,0.666667,0.333333,0,0,0,0,0,0.333333,0,0,0,0,0,0.333333,0,0.146667,0,0.212498,0.52,0.146667
16,0.333333,0.333333,0,0,0.333333,0,0,0,0,0,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0,0,0,0,0.333333,0,0.106667,0,0.155492,0.226667,0.106667
17,0,0.333333,0.333333,0,0,0.666667,0,0,0,0,0.333333,0,0,0.333333,0,0.333333,0,0,0,0,0.333333,0,0.333333,0,0.333333,0.133333,0,0.188562,0.533333,0.133333
18,0,0.333333,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0.666667,0,0.08,0,0.17075,0.586667,0.08
19,0,0,0,0,0.333333,0,0,0,0,0,0.333333,0,0.333333,0,0,0.333333,0,0.333333,0,0,0,0,0,0.333333,0,0.08,0,0.142361,0.253333,0.08
20,0,0,0,0.333333,0,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0.0533333,0,0.122202,0.28,0.0533333
