Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.5,0.166667,0.5,0.833333,0.666667,0.833333,0.166667,0.333333,0.666667,0.5,0.833333,0.666667,0.5,1,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,0.833333,0.333333,0.5,0.5,0.573333,0.666667,0.21124,0.426667,0.406667
2,0.333333,0.833333,0.333333,0.5,0.833333,0.5,0.666667,0.5,0.666667,0.333333,0.5,0.833333,0.5,0.5,0.666667,0.333333,1,0.166667,0.666667,0.5,0.5,0.5,0,0.333333,0.5,0.52,0.5,0.217664,0.48,0.52
3,0.5,0.666667,0.166667,0.833333,0.5,0.5,0.5,0.5,0.5,0.166667,0.833333,0.666667,0.333333,0.833333,0.5,0.5,0.5,0.166667,0.166667,0.5,0.5,0.666667,0.333333,0.333333,0.166667,0.473333,0.5,0.203743,0.36,0.306667
4,0.333333,0.5,0,0.666667,0.333333,0.166667,0.333333,0.666667,0.5,0.666667,0.5,0.5,0.5,0.5,0.833333,0.166667,0.5,0.166667,0.5,0.666667,0.666667,0.333333,0.5,0.5,0.5,0.46,0.5,0.190205,0.373333,0.46
5,0.333333,0.5,0.5,0.333333,0.333333,0.666667,0.666667,0.833333,0.5,0.666667,0.833333,0.333333,0.5,0.5,0.333333,0.666667,0.5,0.333333,0.5,0.333333,0.5,0.5,0.166667,0.666667,0.166667,0.486667,0.5,0.175879,0.346667,0.32
6,0.5,0.166667,0.5,0.333333,0.333333,0.166667,0.166667,0.333333,0.333333,0.166667,0.5,0.666667,0.5,0.666667,0.666667,0.333333,0.333333,0,0.166667,0.5,0.833333,0.5,0.166667,0.166667,0.166667,0.366667,0.333333,0.20548,0.466667,0.366667
7,0.166667,0.5,0.166667,0.5,0.333333,0.5,0.666667,0.5,0,0.5,0.333333,0.333333,0.333333,0.333333,0.833333,0.166667,0.166667,0.5,0.166667,0.166667,0.666667,0.166667,0.5,0.333333,0.666667,0.38,0.333333,0.202868,0.453333,0.38
8,0.166667,0.333333,0.5,0.166667,0.166667,0,0.333333,0,0.166667,0.333333,0.333333,0.166667,0.333333,0.5,0.333333,0.333333,0.5,0.166667,0.333333,0.166667,0.333333,0.166667,0,0.333333,0,0.246667,0.333333,0.149963,0.253333,0.246667
9,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.166667,0.333333,0.333333,0.333333,0.166667,0.5,0.166667,0.333333,0,0.5,0.333333,0.166667,0.5,0.166667,0.166667,0.166667,0.333333,0.166667,0.246667,0.166667,0.125786,0.253333,0.246667
10,0,0.333333,0.166667,0.333333,0.166667,0.5,0.166667,0.166667,0.333333,0.333333,0,0,0,0.333333,0.5,0.166667,0.333333,0.333333,0.166667,0.166667,0.333333,0.333333,0,0.333333,0.5,0.24,0.333333,0.156915,0.26,0.24
11,0.166667,0.333333,0.333333,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0,0.166667,0.333333,0.2,0.166667,0.0942809,0.3,0.2
12,0,0.333333,0.5,0.166667,0,0.333333,0.166667,0.333333,0.166667,0.166667,0,0.333333,0.166667,0.333333,0.333333,0,0,0.166667,0.5,0.166667,0.333333,0.166667,0,0.333333,0,0.2,0.166667,0.156347,0.3,0.2
13,0,0,0.166667,0.166667,0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0,0.166667,0.333333,0,0,0,0,0.166667,0.166667,0.126667,0.166667,0.0975249,0.206667,0.126667
14,0.333333,0.166667,0,0.333333,0,0.333333,0,0,0.166667,0.333333,0,0.166667,0.333333,0.333333,0.333333,0,0,0,0.166667,0.166667,0.166667,0.166667,0.5,0.166667,0.5,0.186667,0.166667,0.158605,0.313333,0.186667
15,0,0.5,0,0.166667,0.666667,0.166667,0,0.333333,0.166667,0,0,0.166667,0.666667,0,0,0.333333,0.166667,0.5,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.206667,0.166667,0.195959,0.46,0.206667
16,0,0,0.333333,0.166667,0.333333,0.333333,0.166667,0,0.166667,0,0.166667,0,0.166667,0,0.333333,0.166667,0,0.166667,0.166667,0.333333,0.166667,0,0.166667,0.166667,0.166667,0.146667,0.166667,0.118509,0.186667,0.146667
17,0,0,0.166667,0.166667,0.166667,0.333333,0.333333,0.166667,0,0,0.166667,0.166667,0.166667,0.166667,0.333333,0.333333,0.666667,0.166667,0.166667,0,0.166667,0.166667,0,0,0,0.16,0.166667,0.152607,0.506667,0.16
18,0,0,0,0.166667,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0,0.166667,0,0,0.166667,0,0,0.166667,0.333333,0.5,0.166667,0.166667,0.5,0.166667,0.166667,0.153333,0.166667,0.140791,0.346667,0.153333
19,0,0,0.166667,0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0,0,0,0,0.5,0.166667,0,0,0,0.166667,0.166667,0.333333,0,0.166667,0.113333,0.166667,0.122202,0.386667,0.113333
20,0,0,0,0.166667,0,0.166667,0,0,0,0.333333,0,0,0,0.166667,0,0.166667,0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0,0.166667,0.0866667,0,0.0956847,0.246667,0.0866667
