Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0.666667,0,0.333333,0.333333,0,0,0,0.666667,0.333333,0.333333,0.666667,0,0,0,0,0,0,0.333333,0,0.333333,0,0.666667,0.333333,0.2,0,0.249444,0.466667,0.2
2,0,0,0,0,0,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0.333333,0,0,0,0.666667,0,0.333333,0,0,0,0,0.333333,0.12,0,0.185712,0.546667,0.12
3,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0.666667,0.333333,0,0.333333,0,0,0,0,0,0,0.333333,0,0.16,0,0.191369,0.506667,0.16
4,0,0,0,0.666667,0,0.333333,0.666667,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0,0,0.333333,0,0,0.333333,0.333333,0.186667,0,0.212498,0.48,0.186667
5,0,0.666667,0,0,0.333333,0.333333,0,0,0.666667,0.333333,0.666667,0,0.333333,0.666667,0.333333,1,0.666667,0,0.333333,0.666667,0.333333,0,0.666667,0.333333,0.333333,0.346667,0.333333,0.290287,0.653333,0.346667
6,1,0.666667,0.666667,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.666667,0.333333,0,0.333333,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0,0,0.346667,0.333333,0.257854,0.653333,0.346667
7,0,0,0.333333,0,0,0,0.666667,0.666667,0,0.333333,0.333333,0.333333,0.666667,0.333333,0,0,0,0,0.333333,1,0.333333,0.333333,0.333333,0.666667,0,0.266667,0.333333,0.282843,0.733333,0.266667
8,0.333333,0.666667,0.333333,0.333333,0.333333,0,1,0,0.666667,0.333333,0.333333,0,0.666667,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.666667,0.333333,0.666667,0.333333,1,0,0.4,0.333333,0.282843,0.6,0.4
9,1,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.666667,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0.666667,0.333333,0.293333,0.333333,0.255082,0.706667,0.293333
10,0.333333,0,0,0.333333,0.333333,0,0,0.333333,0.666667,0.333333,0,0,0.333333,0.333333,0.666667,0.333333,0,0.666667,0,0.333333,0.333333,1,0.333333,0.333333,0,0.28,0.333333,0.261279,0.72,0.28
11,0,0.333333,0.666667,0,0.333333,0.666667,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.666667,0.28,0.333333,0.224697,0.386667,0.28
12,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0,0,0.333333,0.333333,0.666667,0,0,0.666667,0,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.666667,0.226667,0.333333,0.225487,0.44,0.226667
13,0,0.333333,0.666667,0.333333,0,0.333333,0.333333,0.666667,0,0,0,0.333333,0,0,0,0.666667,0,0,0.333333,0,0,0,0.333333,0.333333,0.666667,0.213333,0,0.247296,0.453333,0.213333
14,0.333333,0.666667,0,0.666667,0,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.333333,0.333333,0,0,0,0.333333,0.333333,0,0.333333,0,0.333333,0,0.666667,0.333333,0.266667,0.333333,0.23094,0.4,0.266667
15,0,0,0.333333,0.333333,0,0,0,0.333333,0,0.333333,0,0.666667,0,0,0,0,0,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0.146667,0,0.190438,0.52,0.146667
16,0,0.333333,0,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0.146667,0,0.165462,0.186667,0.146667
17,0.333333,0,0,0.333333,0,0.333333,0,0,0.666667,0,0,0,0.333333,0,0,0,0.333333,0,0,0.333333,1,0,0.333333,0.333333,0,0.173333,0,0.251573,0.826667,0.173333
18,0.333333,0.333333,0,0,0.333333,0.333333,0,0,0.666667,0.666667,0,0.666667,0.333333,0,0,0.333333,0.666667,0.666667,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.28,0.333333,0.243676,0.386667,0.28
19,0,0,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,0.333333,0,0.333333,0,0.666667,0.333333,0,0,0,0,0,0,0,0.333333,0.333333,0,0,0.2,0,0.23094,0.466667,0.2
20,0,0,0,0.333333,0.333333,0.333333,0,0.666667,0,0,0,0.666667,0.333333,0.666667,0,0,0,0,0,0.666667,0,0.333333,0.666667,0.333333,0,0.213333,0,0.264659,0.453333,0.213333
