Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0,0,0.666667,0,0,0,0,0,0.333333,0.666667,0,0,0,0,0.333333,0,0.333333,0,0,0.333333,0,0,0.106667,0,0.204831,0.56,0.106667
2,0,0.666667,0,0.333333,0,0,1,0.666667,0.333333,0,0.666667,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0.666667,0.333333,0.666667,0.293333,0.333333,0.287827,0.706667,0.293333
3,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0,0,0.333333,0.333333,0,0.666667,0.666667,0,0,0.333333,0.333333,0.666667,0,0.333333,0.666667,0,0.333333,0.293333,0.333333,0.237019,0.373333,0.293333
4,0.333333,0.333333,0.666667,0.666667,0.333333,0,0.333333,0.666667,0,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.666667,0,0,0.666667,0.333333,0.306667,0.333333,0.229395,0.36,0.306667
5,0.333333,0,0,0.333333,0.333333,0,0.666667,0.333333,0.666667,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0.253333,0.333333,0.19505,0.413333,0.253333
6,0.333333,0,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.666667,0.333333,0,0.666667,0.666667,0.333333,0.333333,0,0,0.666667,0.333333,0,0,0.333333,0,0.28,0.333333,0.243676,0.386667,0.28
7,0.333333,0,0,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0,0.333333,0,0,0,0,0.333333,0,0,0.333333,0,0.333333,0.333333,0.16,0,0.166533,0.173333,0.16
8,0.333333,0,0.333333,0.333333,0.666667,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,1,0,0.333333,0.333333,0.666667,0,0,0.28,0.333333,0.243676,0.72,0.28
9,0.666667,0.333333,1,0,0,0,0.333333,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0,0,0,0,0,0.333333,0.333333,0,0.333333,0.333333,0.2,0,0.249444,0.8,0.2
10,0.333333,0,0,0.333333,0.666667,0,0.333333,0,0,0.333333,0,0.666667,0.666667,0,0,0.333333,0,0.333333,0.666667,0.333333,0,0.333333,0,0.666667,0.666667,0.266667,0.333333,0.266667,0.4,0.266667
11,1,0.333333,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0.666667,0.266667,0.333333,0.23094,0.733333,0.266667
12,0,0.666667,0.333333,0,0.666667,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0,0,0.2,0.333333,0.210819,0.466667,0.2
13,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.666667,0.333333,0,0.333333,0.666667,0,0,0,0.666667,0.333333,0.333333,0,0.666667,0,0,0.333333,0.293333,0.333333,0.237019,0.373333,0.293333
14,0.333333,0.666667,0.333333,0,0,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.666667,0,0,0.333333,0.333333,0.666667,0,0.24,0.333333,0.22151,0.426667,0.24
15,0.666667,0.666667,0,0.333333,0.333333,0,0.333333,0,0,0,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.333333,0,0,0.666667,0,0.333333,0,0.2,0,0.23094,0.466667,0.2
16,0.333333,0.666667,0,0.333333,0.333333,0.333333,0.333333,0,0,0.333333,0,0.333333,0,0,0.333333,1,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0.666667,0.666667,0.293333,0.333333,0.255082,0.706667,0.293333
17,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0,0.333333,0,0.333333,0.333333,0.666667,0,0,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.210819,0.333333,0.333333
18,0.333333,0,0.333333,0,0.666667,0,0.333333,0.666667,0,0.333333,0.333333,0,0.666667,0.333333,0,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0,0.666667,0.28,0.333333,0.243676,0.386667,0.28
19,0.333333,0,0,0.333333,1,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.333333,0,0.666667,0.333333,0,0.333333,0.32,0.333333,0.24,0.68,0.32
20,0,0.333333,0,0.333333,0.333333,0,0,0.666667,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0,1,0.333333,0.293333,0.333333,0.237019,0.706667,0.293333
