Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.166667,0.166667,0,0.166667,0.5,0,0,0,0.166667,0.166667,0,0.5,0,0,0,0.166667,0.166667,0,0.166667,0.166667,0,0.333333,0,0.333333,0.166667,0.133333,0.166667,0.149071,0.366667,0.133333
2,0.166667,0,0.166667,0,0.333333,0,0,0,0,0.166667,0.5,0.166667,0.166667,0.166667,0.166667,0.333333,0.166667,0.166667,0,0,0,0.333333,0,0.333333,0.333333,0.146667,0.166667,0.143914,0.353333,0.146667
3,0.166667,0.333333,0.166667,0.166667,0,0,0.166667,0.166667,0,0.166667,0.333333,0.333333,0.666667,0.333333,0.166667,0.166667,0.166667,0,0.5,0.333333,0.166667,0,0,0.5,0.333333,0.213333,0.166667,0.173333,0.453333,0.213333
4,0,0,0.166667,0.166667,0.166667,0,0.166667,0.166667,0.333333,0.5,0.333333,0.333333,0.166667,0.5,0.166667,0.166667,0.166667,0,0.333333,0.5,0.166667,0.166667,0,0,0.666667,0.213333,0.166667,0.179629,0.453333,0.213333
5,0.166667,0.333333,0.666667,0.333333,0.166667,0.333333,0.333333,0.5,0.333333,0.666667,0.166667,0.166667,0.166667,0,0,0.333333,0.333333,0.166667,0,0.166667,0,0.166667,0,0,0.166667,0.226667,0.166667,0.187853,0.44,0.226667
6,0.333333,0.166667,0.5,0,0.333333,0.166667,0.333333,0.333333,0.166667,0.333333,0.5,0.166667,0,0.666667,0.166667,0.166667,0.333333,0.166667,0.166667,0.333333,0,0.333333,0,0.166667,0.333333,0.246667,0.166667,0.164114,0.42,0.246667
7,0.333333,0.166667,0.333333,0.166667,0.333333,0.333333,0.333333,0.333333,0.5,0,0.166667,0.333333,0.333333,0,0.333333,0.166667,0.5,0.333333,0.666667,0.5,0.166667,0.166667,0.666667,0,0.333333,0.3,0.333333,0.176383,0.366667,0.3
8,0.333333,0.5,0.166667,0,0.166667,0.5,0.5,0.166667,0.333333,0.333333,0.166667,0.166667,0.166667,0.166667,0.333333,0.333333,0.166667,0.166667,0.333333,0.166667,0.333333,0.333333,0.333333,0,0.166667,0.253333,0.166667,0.13433,0.246667,0.253333
9,0.333333,0.166667,0,0.166667,0.166667,0.166667,0.166667,0,0.166667,0.333333,0,0,0.166667,0.166667,0.166667,0.333333,0.333333,0,0,0.333333,0.333333,0.166667,0.333333,0.666667,0.333333,0.2,0.166667,0.156347,0.466667,0.2
10,0.333333,0.166667,0.166667,0,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0,0.166667,0.666667,0,0.166667,0.166667,0.166667,0.5,0.333333,0.166667,0.333333,0,0.166667,0,0.166667,0.193333,0.166667,0.154056,0.473333,0.193333
11,0.166667,0.166667,0.333333,0.666667,0.166667,0.333333,0.166667,0.5,0.333333,0.166667,0.333333,0.166667,0.333333,0.333333,0.166667,0,0,0.333333,0,0.5,0,0.333333,0.166667,0.166667,0.333333,0.246667,0.166667,0.164114,0.42,0.246667
12,0,0.166667,0.166667,0.666667,0.333333,0.333333,0.166667,0,0.166667,0.333333,0,0.333333,0.166667,0.333333,0.5,0.333333,0,0,0.5,0.333333,0.5,0.166667,0.5,0.333333,0,0.253333,0.333333,0.189268,0.413333,0.253333
13,0.5,0.333333,0.333333,0.5,0.166667,0.166667,0.333333,0.166667,0.333333,0,0,0.5,0.333333,0.666667,0,0.166667,0.333333,0.5,0.166667,0,0,0.166667,0.333333,0.5,0.166667,0.266667,0.333333,0.188562,0.4,0.266667
14,0.333333,0,0,0.333333,0.166667,0.166667,0.333333,0.833333,0.166667,0.333333,0,0.166667,0.333333,0.333333,0.5,0.166667,0,0.5,0.333333,0.333333,0.333333,0.5,0.5,0.333333,0.333333,0.293333,0.333333,0.190205,0.54,0.293333
15,0.5,0.5,0.166667,0.5,0.5,0.5,0.166667,0.666667,0.333333,0.166667,0.5,0.5,0.333333,0,0,0.5,0,0.333333,0.333333,0.166667,0.333333,0.166667,0.333333,0.5,0.166667,0.326667,0.333333,0.185472,0.34,0.326667
16,0.5,0.166667,0.166667,0.166667,0.5,0.666667,0.5,0,0,0.666667,0.166667,0.166667,0.333333,0.166667,0.5,0.5,0.333333,0.333333,0.333333,0.333333,0.166667,0.5,0.5,0.333333,0.5,0.34,0.333333,0.185472,0.326667,0.34
17,0.333333,0.166667,0.5,0.166667,0.333333,0.166667,0.333333,0.666667,0.166667,0.5,0.166667,0.5,0.166667,0.333333,0.5,0.333333,0.333333,0.5,0.333333,0.333333,0,0.5,0.333333,0.333333,0.166667,0.326667,0.333333,0.152607,0.34,0.326667
18,0.333333,0.333333,0.333333,0.5,0.5,0.5,0.166667,0.166667,0.166667,0.5,0.666667,0,0.333333,0.166667,0.166667,0.166667,0,0.5,0.333333,0.5,0.5,0.333333,0,0.5,0.5,0.326667,0.333333,0.185472,0.34,0.326667
19,0.166667,0,0,0.166667,0.166667,0.333333,0.166667,0.666667,0.166667,0.333333,0.333333,0.166667,0.333333,0.5,0.333333,0.666667,0.333333,0.166667,0.333333,0.333333,0.166667,0,0.5,0.666667,0.166667,0.286667,0.333333,0.191601,0.38,0.286667
20,0.333333,0.333333,0.5,0.666667,0.333333,0.666667,0.333333,0.166667,0,0.333333,0.166667,0.666667,0,0.333333,0.166667,0.333333,0.333333,0.333333,0.166667,0.833333,0.166667,0.333333,0.5,0.166667,0.5,0.346667,0.333333,0.205047,0.486667,0.346667
