Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.0526316,0.0526316,0.210526,0.105263,0.210526,0.210526,0.0526316,0,0.105263,0.210526,0.105263,0.263158,0.315789,0,0,0.0526316,0.0526316,0.105263,0.0526316,0.263158,0.0526316,0.210526,0.105263,0.210526,0.105263,0.124211,0.105263,0.0904038,0.191579,0.124211
2,0.0526316,0.105263,0.157895,0.105263,0.210526,0.157895,0.368421,0.157895,0.105263,0.0526316,0.368421,0.263158,0.210526,0.105263,0.105263,0.157895,0.263158,0.210526,0.105263,0.157895,0.0526316,0.263158,0.157895,0.263158,0.368421,0.181053,0.157895,0.0942443,0.187368,0.128421
3,0.105263,0.210526,0.105263,0.210526,0.210526,0.263158,0.263158,0.263158,0.105263,0.210526,0.315789,0.315789,0.315789,0.368421,0.315789,0.210526,0.157895,0.105263,0.368421,0.263158,0.157895,0.105263,0.210526,0.315789,0.210526,0.227368,0.210526,0.0825091,0.141053,0.122105
4,0.105263,0.157895,0.210526,0.368421,0.210526,0.105263,0.315789,0.263158,0.263158,0.263158,0.263158,0.105263,0.105263,0.263158,0.105263,0.210526,0.157895,0.105263,0.157895,0.315789,0.263158,0.157895,0.157895,0.263158,0.315789,0.208421,0.210526,0.0794441,0.16,0.103158
5,0.210526,0.263158,0.263158,0.210526,0.263158,0.157895,0.210526,0.263158,0.421053,0.368421,0.315789,0.210526,0.263158,0.157895,0.157895,0.473684,0.263158,0.263158,0.210526,0.263158,0.157895,0.315789,0.263158,0.157895,0.157895,0.250526,0.263158,0.0805521,0.223158,0.0926316
6,0.421053,0.157895,0.421053,0.105263,0.315789,0.263158,0.157895,0.315789,0.368421,0.263158,0.473684,0.263158,0.157895,0.526316,0.315789,0.210526,0.157895,0.210526,0.157895,0.421053,0.157895,0.210526,0.157895,0.157895,0.210526,0.263158,0.210526,0.11531,0.263158,0.157895
7,0.157895,0.157895,0.315789,0.263158,0.315789,0.210526,0.368421,0.315789,0.263158,0.105263,0.157895,0.315789,0.368421,0.210526,0.210526,0.368421,0.263158,0.157895,0.368421,0.526316,0.157895,0.210526,0.368421,0.263158,0.263158,0.267368,0.263158,0.0952268,0.258947,0.162105
8,0.315789,0.473684,0.157895,0.210526,0.421053,0.263158,0.421053,0.210526,0.421053,0.263158,0.263158,0.315789,0.421053,0.315789,0.210526,0.368421,0.263158,0.210526,0.315789,0.315789,0.315789,0.368421,0.421053,0.368421,0.105263,0.309474,0.315789,0.0921519,0.164211,0.204211
9,0.473684,0.263158,0.263158,0.315789,0.210526,0.157895,0.210526,0.421053,0.105263,0.315789,0.105263,0.263158,0.210526,0.210526,0.157895,0.368421,0.157895,0.157895,0.157895,0.263158,0.315789,0.210526,0.263158,0.473684,0.263158,0.252632,0.263158,0.0998614,0.221053,0.147368
10,0.315789,0.157895,0.157895,0.210526,0.263158,0.157895,0.368421,0.315789,0.210526,0.263158,0,0.315789,0.473684,0.105263,0.210526,0.263158,0.157895,0.526316,0.210526,0.210526,0.157895,0.315789,0.105263,0.315789,0.157895,0.237895,0.210526,0.113489,0.288421,0.237895
11,0.315789,0.368421,0.263158,0.263158,0.210526,0.368421,0.263158,0.368421,0.368421,0.368421,0.263158,0.210526,0.263158,0.210526,0.157895,0.315789,0.210526,0.473684,0.157895,0.368421,0.157895,0.263158,0.210526,0.368421,0.421053,0.288421,0.263158,0.0856715,0.185263,0.130526
12,0.157895,0.315789,0.263158,0.263158,0.315789,0.210526,0.263158,0.157895,0.157895,0.157895,0.263158,0.315789,0.315789,0.210526,0.263158,0.421053,0.105263,0.0526316,0.368421,0.315789,0.263158,0.263158,0.315789,0.263158,0.157895,0.246316,0.263158,0.0838413,0.174737,0.193684
13,0.368421,0.368421,0.473684,0.315789,0.210526,0.210526,0.263158,0.368421,0.263158,0.157895,0.263158,0.210526,0.315789,0.315789,0.0526316,0.210526,0.210526,0.263158,0.421053,0.210526,0.157895,0.368421,0.210526,0.315789,0.368421,0.275789,0.263158,0.093299,0.197895,0.223158
14,0.315789,0.421053,0.0526316,0.315789,0.210526,0.263158,0.263158,0.368421,0.157895,0.315789,0.157895,0.368421,0.263158,0.105263,0.263158,0.263158,0.263158,0.421053,0.263158,0.263158,0.157895,0.315789,0.368421,0.421053,0.315789,0.275789,0.263158,0.0944792,0.145263,0.223158
15,0.315789,0.368421,0.210526,0.421053,0.210526,0.263158,0.157895,0.263158,0.157895,0.263158,0.368421,0.421053,0.157895,0.157895,0.105263,0.368421,0.105263,0.315789,0.368421,0.315789,0.157895,0.210526,0.315789,0.315789,0.105263,0.256842,0.263158,0.099104,0.164211,0.151579
16,0.368421,0.368421,0.157895,0.263158,0.473684,0.421053,0.263158,0.0526316,0.105263,0.368421,0.157895,0.210526,0.263158,0.157895,0.421053,0.421053,0.315789,0.263158,0.210526,0.210526,0.210526,0.368421,0.421053,0.368421,0.368421,0.288421,0.263158,0.111519,0.185263,0.235789
17,0.263158,0.263158,0.421053,0.368421,0.263158,0.315789,0.263158,0.421053,0.421053,0.368421,0.263158,0.421053,0.315789,0.210526,0.263158,0.210526,0.368421,0.263158,0.157895,0.368421,0.473684,0.368421,0.368421,0.210526,0.210526,0.313684,0.315789,0.0835235,0.16,0.155789
