Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0.333333,0,0,0,0.666667,0,0,0.333333,0,0.333333,0.333333,0,0,0,0.333333,0,0,0.333333,0.333333,0.333333,0,0.333333,0.146667,0,0.190438,0.52,0.146667
2,0,0,0.333333,0,0.333333,0.333333,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.333333,0.333333,0.333333,0,0,0,0,0.0933333,0,0.149666,0.24,0.0933333
3,0.333333,0.333333,0.666667,0,0.333333,0.333333,0,0,0,0,0.666667,0,0,0,0,0.333333,0,0.333333,0,0.666667,0,0.333333,0.333333,0,0,0.186667,0,0.232475,0.48,0.186667
4,0.333333,0.333333,0,0,0.666667,0,0,0.666667,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0,0.333333,0,0,0,0.186667,0,0.212498,0.48,0.186667
5,0.666667,0,0.666667,0.333333,0.333333,0.333333,1,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0.333333,0.666667,0,0,1,0.333333,0.666667,0.333333,0.333333,0.333333,0.298142,0.666667,0.333333
6,0,0.333333,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0,0.666667,0.333333,0.306667,0.333333,0.186667,0.36,0.306667
7,0.333333,0.666667,0.666667,1,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.333333,0.666667,0.333333,0.666667,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.426667,0.333333,0.22151,0.573333,0.426667
8,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0,0.666667,0,0.666667,0,1,0,0.666667,0.333333,0.333333,0.333333,0,0.666667,0,0.666667,0.333333,0.666667,0,1,0.4,0.333333,0.312694,0.6,0.4
9,0,0.666667,0,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,0,1,0.666667,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,0.333333,0.666667,0.333333,0.666667,0.666667,0.333333,0.333333,0.453333,0.333333,0.247296,0.546667,0.453333
10,0.333333,1,0.333333,0.333333,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,1,0.333333,0.666667,0.333333,0.333333,1,0,1,0.666667,0.333333,0,0,0.666667,0.666667,0.506667,0.333333,0.299926,0.493333,0.506667
11,1,0.333333,0,1,0.666667,0,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.48,0.666667,0.284097,0.52,0.48
12,0.333333,1,0,1,0.333333,0.333333,0.666667,1,1,0.666667,0.333333,0.333333,0.333333,0.333333,1,0.333333,0.666667,0,0.333333,1,0.666667,1,0.333333,0.333333,0,0.533333,0.333333,0.339935,0.466667,0.533333
13,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,0.333333,0.333333,1,0.333333,1,0.333333,1,1,1,0,0.666667,0.666667,0,0.333333,1,0.666667,0,0.666667,0,0.533333,0.666667,0.339935,0.466667,0.533333
14,0.666667,0,0.666667,0.333333,0.666667,0.333333,0.666667,0,0.333333,0,1,0.666667,0.333333,1,0.333333,0.666667,0,0.666667,1,0.666667,1,0.666667,0.666667,0.333333,0.333333,0.52,0.666667,0.313829,0.48,0.52
15,0.666667,0.666667,0.666667,0.333333,0.666667,1,1,0.666667,0.666667,0.333333,1,0.333333,1,1,0.666667,1,0.666667,0.666667,0.666667,0.666667,0.666667,1,0.666667,0.333333,0.666667,0.706667,0.666667,0.21746,0.293333,0.373333
16,0.666667,0.666667,1,0.666667,0.333333,0.666667,1,0.666667,0.333333,0.666667,0.666667,0.666667,1,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.6,0.666667,0.210819,0.4,0.266667
17,0.666667,0.333333,0.333333,0.666667,1,0.666667,1,0.666667,0,0.666667,1,0.666667,0.666667,1,1,0.333333,0.666667,0.333333,1,0.666667,0,1,0.666667,0.333333,1,0.653333,0.666667,0.305214,0.346667,0.653333
18,0,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1,0,0,1,0.333333,0.333333,0.666667,1,0.333333,0.333333,0,0.333333,0.333333,1,1,0.666667,0.666667,0.333333,0.533333,0.666667,0.326599,0.466667,0.533333
19,1,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.666667,0.666667,0.333333,0.666667,0.333333,0.666667,1,1,0.666667,1,0.666667,0.666667,1,0.666667,0.666667,0.666667,1,0.68,0.666667,0.220706,0.32,0.346667
20,1,1,1,0.333333,0.333333,0.666667,1,0.333333,1,1,1,0.333333,0.666667,0.333333,1,1,1,1,0.666667,0,1,0.666667,0.333333,0.666667,1,0.733333,1,0.312694,0.266667,0.733333
