Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0,0,0,0.166667,0,0.0266667,0,0.061101,0.14,0.0266667
2,0,0,0,0,0.166667,0.166667,0,0.166667,0,0,0,0,0.333333,0,0,0.166667,0,0.166667,0,0,0.166667,0.166667,0,0,0,0.06,0,0.0928559,0.273333,0.06
3,0,0.166667,0,0,0.333333,0.166667,0,0,0,0,0,0,0,0,0.166667,0,0,0.333333,0.166667,0.166667,0,0.166667,0,0,0,0.0666667,0,0.105409,0.266667,0.0666667
4,0.166667,0.166667,0.333333,0,0.166667,0.333333,0,0.166667,0,0.166667,0,0.333333,0.166667,0,0.166667,0.5,0.166667,0,0.166667,0,0,0.166667,0.333333,0.333333,0,0.153333,0.166667,0.140791,0.346667,0.153333
5,0.166667,0.166667,0,0.166667,0.166667,0.333333,0,0.166667,0.166667,0,0.166667,0.166667,0,0,0.166667,0,0,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.133333,0.166667,0.0942809,0.2,0.133333
6,0.166667,0.166667,0.166667,0,0.166667,0.166667,0.166667,0,0.166667,0,0.166667,0.333333,0.5,0,0,0,0.166667,0,0.166667,0.166667,0.333333,0.333333,0.333333,0,0.166667,0.153333,0.166667,0.132665,0.346667,0.153333
7,0,0.166667,0,0.166667,0.166667,0.166667,0.333333,0.166667,0,0,0.166667,0,0.166667,0,0.333333,0.333333,0,0.166667,0.166667,0,0.166667,0.333333,0.166667,0.333333,0.333333,0.153333,0.166667,0.124007,0.18,0.153333
8,0,0.333333,0.5,0,0.333333,0,0.333333,0.333333,0,0.333333,0,0.166667,0,0.5,0.333333,0,0.166667,0.333333,0,0.166667,0,0,0,0.333333,0.166667,0.173333,0.166667,0.173077,0.326667,0.173333
9,0,0.166667,0.333333,0.5,0,0.166667,0,0.333333,0.5,0,0.333333,0.166667,0.5,0.166667,0.5,0.166667,0.333333,0.166667,0.5,0,0,0,0,0,0,0.193333,0.166667,0.192527,0.306667,0.193333
10,0.166667,0.5,0.333333,0.5,0,0.5,0.333333,0,0.333333,0.333333,0.166667,0.333333,0.166667,0.333333,0.333333,0.333333,0.166667,0.166667,0,0.166667,0.166667,0.166667,0,0.5,0.333333,0.253333,0.333333,0.157198,0.246667,0.253333
11,0.166667,0.166667,0.166667,0,0,0.333333,0.166667,0,0,0.166667,0.166667,0,0.333333,0.333333,0.166667,0.166667,0.5,0.166667,0.666667,0,0.5,0.333333,0.166667,0.5,0,0.206667,0.166667,0.18427,0.46,0.206667
12,0.166667,0.333333,0.166667,0,0.333333,0.333333,0.333333,0.166667,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0.333333,0,0.333333,0.5,0.22,0.166667,0.112744,0.28,0.22
13,0,0,0.333333,0.166667,0,0.333333,0.166667,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.166667,0.5,0.166667,0.166667,0.166667,0.333333,0.666667,0.5,0.166667,0,0,0.166667,0.213333,0.166667,0.173333,0.453333,0.213333
14,0.333333,0.333333,0.333333,0,0.5,0.5,0.166667,0.166667,0.333333,0.5,0.333333,0.5,0.5,0.333333,0,0.166667,0.5,0,0.5,0.333333,0.333333,0.333333,0.5,0.333333,0.5,0.333333,0.333333,0.163299,0.166667,0.333333
15,0.166667,0.5,0.333333,0.166667,0.5,0.166667,0.166667,0,0.333333,0.666667,0,0.333333,0.5,0.333333,0.833333,0.166667,0.5,0.333333,0.333333,0.333333,0.666667,0.166667,0.166667,0.333333,0.5,0.34,0.333333,0.202649,0.493333,0.34
16,0.333333,0.5,0.5,0.5,0.333333,0.166667,0.333333,0.333333,0.5,0.166667,0.666667,0.333333,0.5,0.166667,0.333333,0.333333,0.333333,0.166667,0.5,0.333333,0.5,0.166667,0.166667,0.166667,0.166667,0.34,0.333333,0.145144,0.326667,0.173333
17,0.333333,0.5,0.166667,0.333333,0.166667,0.333333,0.666667,0.166667,0.166667,0.333333,0.666667,0.166667,0.333333,0.333333,0,0.166667,0.5,0.333333,0.166667,0.333333,0.5,0.333333,0,0.166667,0.333333,0.3,0.333333,0.169967,0.366667,0.3
18,0.166667,0.5,0.333333,0.333333,0.333333,0.166667,0.5,0.5,0.5,0.333333,0,0.333333,0.333333,0.166667,0.666667,0.5,0.5,0.166667,0.5,0.333333,0,0.166667,1,0.5,0.333333,0.366667,0.333333,0.210819,0.633333,0.366667
19,0.333333,0.333333,0.5,0.833333,0.666667,0.666667,0.333333,0,0.5,0.5,0.166667,0.5,0.333333,0.333333,0.5,0.166667,0.5,0.333333,0.5,0.5,0.333333,0.333333,0.166667,0.166667,0.333333,0.393333,0.333333,0.181842,0.44,0.393333
20,0.666667,0.333333,0.5,0.166667,0.333333,0.166667,0.5,0.666667,0.833333,0.5,0.166667,0.166667,1,0.5,0.833333,0.5,0.5,0.5,0.666667,0,0.666667,0.333333,0.333333,0.5,0,0.453333,0.5,0.251749,0.546667,0.453333
