Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.36,0,0.48,0.64,0.36
3,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.48,0,0.4996,0.52,0.48
4,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0.48,0,0.4996,0.52,0.48
5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0.4,0,0.489898,0.6,0.4
6,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0.48,0,0.4996,0.52,0.48
7,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0.44,0,0.496387,0.56,0.44
8,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0.4,0,0.489898,0.6,0.4
9,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0.4,0,0.489898,0.6,0.4
10,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0.6,1,0.489898,0.4,0.6
11,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0.6,1,0.489898,0.4,0.6
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0.76,1,0.427083,0.24,0.76
13,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.68,1,0.466476,0.32,0.68
14,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0.64,1,0.48,0.36,0.64
15,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0.64,1,0.48,0.36,0.64
16,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0.68,1,0.466476,0.32,0.68
17,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0.68,1,0.466476,0.32,0.68
18,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0.76,1,0.427083,0.24,0.76
19,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.8,1,0.4,0.2,0.8
20,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0.84,1,0.366606,0.16,0.84
