Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.333333,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266667,0,0.0904311,0.306667,0.0266667
3,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.04,0,0.108321,0.293333,0.04
4,0,0,0.333333,0,0,0,0,0,0.333333,0.333333,0,0,0,0,0,0,0,0,0.333333,0.333333,0,0,0.333333,0,0,0.08,0,0.142361,0.253333,0.08
5,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.333333,0,0.0533333,0,0.122202,0.28,0.0533333
6,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0.333333,0.333333,0,0,0,0,0,0,0,0.666667,0,0.0666667,0,0.163299,0.6,0.0666667
7,0,0.333333,0,0.333333,0.333333,0,0,0,0,0,0,0.333333,0,0,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0.0933333,0,0.176887,0.573333,0.0933333
8,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0.333333,0,0.333333,0.333333,0.08,0,0.142361,0.253333,0.08
9,0,0,0,0,0,0.333333,0,0,0.666667,0,0,0,0,0.333333,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0,0,0.333333,0.12,0,0.185712,0.546667,0.12
10,0,0,0.333333,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0.333333,0.333333,0,0,0.666667,0,0.333333,0.666667,0,0,0.146667,0,0.212498,0.52,0.146667
11,0,0,0,0.333333,0.333333,0,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0.106667,0,0.155492,0.226667,0.106667
12,0,0,0,0,0,0,0,0.333333,0,0.333333,0,0.333333,0,0,0,0.333333,0,0.333333,0.666667,0,0,0,0,0,0,0.0933333,0,0.176887,0.573333,0.0933333
13,0,0,0,0,0.333333,0.333333,0.333333,0,0,1,0,0,0,0,0,0.333333,0,0.333333,0,0,0,0,1,0,0.333333,0.16,0,0.284722,0.84,0.16
14,0,0,0,0.666667,0,0,0,0.666667,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0,0,0.333333,0,0.186667,0,0.212498,0.48,0.186667
15,0.333333,0.333333,0,0,0.333333,0,0,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0,0,0.333333,0,0.333333,0.333333,0.333333,0,0,0.333333,0.16,0,0.166533,0.173333,0.16
16,0,0.333333,0,0,0.333333,0.666667,0,0.333333,0,0.333333,0,0,0.666667,0,0.333333,0.333333,0,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0,0.2,0.333333,0.210819,0.466667,0.2
17,0,0.666667,0,0,0,0.333333,0,0,0,0,0,0,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0.333333,0.133333,0,0.188562,0.533333,0.133333
18,0.333333,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0.133333,0,0.163299,0.2,0.133333
19,0.333333,0.666667,0,0,0,0,0,0.333333,0.333333,0,0.333333,0,0,0,0,0.666667,0.666667,0,0,0,0.333333,0.666667,0,0.333333,0,0.186667,0,0.250865,0.48,0.186667
20,0,0.666667,0.333333,0,0,0.333333,0.666667,0,0.666667,0.333333,0.333333,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.333333,0,0.333333,0.333333,0.266667,0.333333,0.23094,0.4,0.266667
