Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,394,353,0,347,260,313,353,280,309,0,351,280,276,316,386,312,261,0,314,0,377,317,323,0,355,259.08,313,134.151,134.92,259.08
2,343,370,0,275,254,361,276,307,299,0,360,256,323,373,335,319,324,0,394,0,371,235,323,0,285,255.32,307,133.618,138.68,255.32
3,306,320,0,353,259,359,277,342,274,0,367,353,371,336,325,256,344,0,299,0,374,285,282,0,346,257.12,306,132.918,116.88,257.12
4,351,352,0,359,304,282,332,305,249,0,304,222,347,331,308,318,253,0,332,0,285,263,281,0,299,243.08,299,125.956,115.92,243.08
5,243,263,0,356,280,292,247,346,298,0,232,274,248,329,256,323,246,0,262,0,313,279,298,0,261,225.84,262,117.211,130.16,225.84
6,226,335,0,343,230,331,215,304,242,0,244,303,286,337,284,256,214,0,246,0,297,287,280,0,214,218.96,246,115.934,124.04,218.96
7,305,269,0,207,216,288,249,393,244,0,231,269,312,277,267,290,223,0,234,0,301,257,256,0,207,211.8,249,112.613,181.2,211.8
8,292,337,0,189,310,233,275,267,248,0,302,208,369,299,279,239,247,0,231,0,299,186,183,0,206,207.96,239,113.395,161.04,207.96
9,197,302,0,227,213,308,218,277,261,0,240,271,219,253,298,231,202,0,209,0,239,232,206,0,280,195.32,227,102.341,112.68,195.32
10,247,254,0,224,185,243,234,247,238,0,264,211,302,220,245,239,253,0,220,0,337,260,243,0,234,196,238,101.85,141,196
11,184,223,0,267,261,269,289,215,234,0,262,177,279,270,224,287,227,0,240,0,215,188,245,0,222,191.12,224,99.9905,97.88,191.12
12,225,256,0,267,249,276,256,257,210,0,167,202,228,240,294,253,180,0,252,0,249,173,235,0,243,188.48,235,98.7976,105.52,188.48
13,206,225,0,211,235,241,204,189,185,0,266,190,250,229,266,251,216,0,233,0,241,209,199,0,232,179.12,211,92.0949,86.88,179.12
14,257,192,0,236,250,275,205,257,205,0,283,305,217,224,229,279,211,0,231,0,290,195,212,0,210,190.52,217,99.8195,114.48,190.52
15,218,250,0,217,250,268,222,217,249,0,211,247,255,223,210,234,249,0,236,0,233,223,280,0,232,188.96,223,95.9673,91.04,188.96
16,281,225,0,207,300,213,220,273,263,0,212,231,243,210,258,257,212,0,221,0,246,199,229,0,207,188.28,220,97.3503,111.72,188.28
17,252,270,0,252,262,222,201,225,265,0,210,175,248,231,200,208,247,0,249,0,257,264,148,0,238,184.96,225,96.7448,85.04,184.96
18,216,234,0,214,212,243,203,240,208,0,207,201,228,208,230,182,201,0,199,0,265,230,204,0,226,174.04,208,88.6266,90.96,174.04
19,199,257,0,203,210,232,213,161,195,0,224,218,232,205,274,253,187,0,244,0,266,195,213,0,216,175.88,210,91.3671,98.12,175.88
20,275,236,0,210,210,308,193,265,200,0,250,226,206,214,203,258,192,0,217,0,228,179,221,0,193,179.36,210,94.0761,128.64,179.36
