Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.583756,0.609065,0,0.435159,0.580769,0.389776,0.592068,0.582143,0.582524,0,0.618234,0.553571,0.322464,0.382911,0.38342,0.589744,0.547893,0,0.410828,0,0.360743,0.485804,0.470588,0,0.546479,0.401118,0.470588,0.217804,0.217116,0.401118
2,0.568513,0.616216,0,0.338182,0.480315,0.357341,0.539855,0.57329,0.588629,0,0.502778,0.636719,0.356037,0.394102,0.376119,0.545455,0.527778,0,0.34264,0,0.390836,0.446809,0.585139,0,0.515789,0.387302,0.446809,0.212438,0.249417,0.387302
3,0.611111,0.578125,0,0.339943,0.548263,0.392758,0.541516,0.593567,0.620438,0,0.531335,0.541076,0.390836,0.342262,0.363077,0.589844,0.514535,0,0.394649,0,0.360963,0.442105,0.503546,0,0.465318,0.386611,0.442105,0.210993,0.233827,0.386611
4,0.575499,0.596591,0,0.376045,0.513158,0.368794,0.527108,0.590164,0.534137,0,0.578947,0.477477,0.331412,0.383686,0.340909,0.584906,0.660079,0,0.364458,0,0.4,0.490494,0.469751,0,0.571906,0.389421,0.469751,0.213869,0.270658,0.389421
5,0.534979,0.555133,0,0.370787,0.592857,0.308219,0.550607,0.630058,0.580537,0,0.543103,0.5,0.302419,0.346505,0.375,0.591331,0.552846,0,0.335878,0,0.380192,0.476703,0.473154,0,0.547893,0.381928,0.473154,0.21259,0.24813,0.381928
6,0.535398,0.528358,0,0.428571,0.530435,0.320242,0.469767,0.569079,0.504132,0,0.540984,0.561056,0.328671,0.350148,0.443662,0.566406,0.457944,0,0.321138,0,0.329966,0.466899,0.485714,0,0.514019,0.370104,0.457944,0.200324,0.198975,0.370104
7,0.554098,0.539033,0,0.318841,0.537037,0.340278,0.473896,0.557252,0.553279,0,0.588745,0.572491,0.336538,0.404332,0.318352,0.548276,0.569507,0,0.303419,0,0.33887,0.494163,0.523438,0,0.555556,0.377096,0.473896,0.209833,0.211649,0.377096
8,0.568493,0.501484,0,0.31746,0.570968,0.356223,0.512727,0.531835,0.516129,0,0.549669,0.509615,0.292683,0.307692,0.304659,0.589958,0.534413,0,0.393939,0,0.341137,0.489247,0.480874,0,0.514563,0.367351,0.480874,0.204196,0.222607,0.367351
9,0.553299,0.635762,0,0.330396,0.553991,0.253247,0.591743,0.577617,0.574713,0,0.566667,0.571956,0.292237,0.359684,0.332215,0.541126,0.514851,0,0.334928,0,0.313808,0.439655,0.57767,0,0.525,0.377623,0.439655,0.217643,0.258139,0.377623
10,0.566802,0.566929,0,0.316964,0.572973,0.312757,0.547009,0.59919,0.52521,0,0.579545,0.530806,0.307947,0.327273,0.359184,0.535565,0.482213,0,0.368182,0,0.296736,0.484615,0.411523,0,0.504274,0.367828,0.411523,0.206974,0.231362,0.367828
11,0.516304,0.565022,0,0.340824,0.56705,0.315985,0.602076,0.576744,0.457265,0,0.461832,0.615819,0.336918,0.244444,0.370536,0.571429,0.559471,0,0.320833,0,0.353488,0.457447,0.42449,0,0.490991,0.365959,0.42449,0.207893,0.24986,0.365959
12,0.551111,0.546875,0,0.307116,0.582329,0.300725,0.523438,0.552529,0.57619,0,0.48503,0.529703,0.27193,0.345833,0.258503,0.612648,0.555556,0,0.369048,0,0.381526,0.433526,0.455319,0,0.502058,0.36564,0.433526,0.208316,0.247008,0.36564
13,0.57767,0.56,0,0.303318,0.570213,0.315353,0.54902,0.486772,0.545946,0,0.567669,0.515789,0.296,0.344978,0.300752,0.521912,0.462963,0,0.330472,0,0.298755,0.425837,0.487437,0,0.543103,0.360158,0.425837,0.204149,0.217511,0.360158
14,0.568093,0.489583,0,0.29661,0.568,0.301818,0.482927,0.548638,0.492683,0,0.54417,0.534426,0.281106,0.330357,0.358079,0.587814,0.56872,0,0.294372,0,0.255172,0.512821,0.438679,0,0.495238,0.357972,0.438679,0.205621,0.229841,0.357972
15,0.573394,0.588,0,0.327189,0.54,0.302239,0.531532,0.571429,0.445783,0,0.530806,0.506073,0.34902,0.372197,0.314286,0.444444,0.497992,0,0.288136,0,0.321888,0.511211,0.471429,0,0.512931,0.359999,0.444444,0.200813,0.228001,0.359999
16,0.523132,0.48,0,0.2657,0.546667,0.267606,0.554545,0.501832,0.494297,0,0.542453,0.515152,0.341564,0.304762,0.344961,0.548638,0.509434,0,0.402715,0,0.296748,0.396985,0.510917,0,0.487923,0.353441,0.402715,0.198135,0.201104,0.353441
17,0.563492,0.492593,0,0.305556,0.522901,0.292793,0.562189,0.564444,0.520755,0,0.5,0.497143,0.290323,0.333333,0.265,0.5625,0.546559,0,0.321285,0,0.303502,0.507576,0.439189,0,0.462185,0.354133,0.439189,0.202055,0.210312,0.354133
18,0.541667,0.649573,0,0.32243,0.608491,0.320988,0.522167,0.570833,0.533654,0,0.565217,0.527363,0.399123,0.331731,0.295652,0.423077,0.452736,0,0.306533,0,0.290566,0.521739,0.480392,0,0.539823,0.36815,0.423077,0.209631,0.281422,0.36815
