Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,230,215,0,151,151,122,209,163,180,0,217,155,89,121,148,184,143,0,129,0,136,154,152,0,194,129.72,151,72.4036,100.28,129.72
2,195,228,0,93,122,129,149,176,176,0,181,163,115,147,126,174,171,0,135,0,145,105,189,0,147,122.64,145,67.9658,105.36,122.64
3,187,185,0,120,142,141,150,203,170,0,195,191,145,115,118,151,177,0,118,0,135,126,142,0,161,122.88,142,66.2361,80.12,122.88
4,202,210,0,135,156,104,175,180,133,0,176,106,115,127,105,186,167,0,121,0,114,129,132,0,171,117.76,129,65.8266,92.24,117.76
5,130,146,0,132,166,90,136,218,173,0,126,137,75,114,96,191,136,0,88,0,119,133,141,0,143,107.6,130,61.7038,110.4,107.6
6,121,177,0,147,122,106,101,173,122,0,132,170,94,118,126,145,98,0,79,0,98,134,136,0,110,100.36,118,55.4602,76.64,100.36
7,169,145,0,66,116,98,118,219,135,0,136,154,105,112,85,159,127,0,71,0,102,127,134,0,115,99.72,115,58.5426,119.28,99.72
8,166,169,0,60,177,83,141,142,128,0,166,106,108,92,85,141,132,0,91,0,102,91,88,0,106,94.96,102,55.9732,82.04,94.96
9,109,192,0,75,118,78,129,160,150,0,136,155,64,91,99,125,104,0,70,0,75,102,119,0,147,91.92,102,55.0367,100.08,91.92
10,140,144,0,71,106,76,128,148,125,0,153,112,93,72,88,128,122,0,81,0,100,126,100,0,118,89.24,100,49.9466,63.76,89.24
11,95,126,0,91,148,85,174,124,107,0,121,109,94,66,83,164,127,0,77,0,76,86,104,0,109,86.64,94,50.2696,87.36,86.64
12,124,140,0,82,145,83,134,142,121,0,81,107,62,83,76,155,100,0,93,0,95,75,107,0,122,85.08,93,48.8204,69.92,85.08
13,119,126,0,64,134,76,112,92,101,0,151,98,74,79,80,131,100,0,77,0,72,89,97,0,126,79.92,89,45.3413,71.08,79.92
14,146,94,0,70,142,83,99,141,101,0,154,163,61,74,82,164,120,0,68,0,74,100,93,0,104,85.32,93,51.7948,78.68,85.32
15,125,147,0,71,135,81,118,124,111,0,112,125,89,83,66,104,124,0,68,0,75,114,132,0,119,84.92,104,47.6461,62.08,84.92
16,147,108,0,55,164,57,122,137,130,0,115,119,83,64,89,141,108,0,89,0,73,79,117,0,101,83.92,89,49.8597,80.08,83.92
17,142,133,0,77,137,65,113,127,138,0,105,87,72,77,53,117,135,0,80,0,78,134,65,0,110,81.8,80,48.4281,60.2,81.8
18,117,152,0,69,129,78,106,137,111,0,117,106,91,69,68,77,91,0,61,0,77,120,98,0,122,79.84,91,45.8621,72.16,79.84
19,113,145,0,65,107,70,116,85,98,0,127,118,68,59,86,134,92,0,62,0,94,87,95,0,107,77.12,87,44.1192,67.88,77.12
20,158,132,0,65,102,90,105,133,95,0,141,110,62,66,57,139,111,0,73,0,74,91,101,0,94,79.96,91,47.4177,78.04,79.96
