Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,1,1,0.333333,0.666667,0.666667,0.666667,1,0.333333,1,0.333333,0.333333,0.666667,0,0.666667,1,1,1,0.666667,1,0.666667,0.666667,0.333333,0.666667,0.333333,0.333333,0.653333,0.666667,0.290287,0.346667,0.653333
2,0.666667,0.666667,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.666667,0,0.333333,0,0.333333,0.666667,0.666667,0.666667,0.333333,0.453333,0.333333,0.208273,0.213333,0.453333
3,0.333333,0.333333,0,0.666667,0,0,0.333333,0.333333,0.333333,0.666667,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0,0.666667,0.333333,0.333333,0.333333,0.666667,0.32,0.333333,0.220706,0.346667,0.32
4,0.333333,0.333333,0.666667,0,0,0.333333,0,0,0.333333,0,0,0.333333,0,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.666667,0.333333,0.333333,0.293333,0.333333,0.21746,0.373333,0.293333
5,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.666667,0.333333,0.666667,0,0.666667,0.666667,0,0.666667,0,0,0.666667,0,0.333333,0.666667,0,0,0,0.333333,0.32,0.333333,0.27455,0.346667,0.32
6,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0,0.666667,0.666667,0.333333,0,0.666667,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.666667,0.346667,0.333333,0.220706,0.32,0.346667
7,0.666667,0.333333,0,0,0.666667,0.333333,0,0,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.666667,0.306667,0.333333,0.229395,0.36,0.306667
8,0.333333,0,0.333333,0,0,0.666667,0,0.333333,0.333333,0,0.666667,0,0.333333,0,0.333333,0,0.333333,0.666667,0.333333,0.333333,0,0,0,0,0,0.2,0,0.23094,0.466667,0.2
9,0,0.333333,0.666667,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.253333,0.333333,0.19505,0.413333,0.253333
10,0.333333,0,0.666667,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0,0.333333,0,0,0.333333,0,0.666667,0,0.333333,0.213333,0.333333,0.208273,0.453333,0.213333
11,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0.333333,0.666667,0.333333,0,0.333333,0.666667,0.666667,0,0,0.24,0.333333,0.22151,0.426667,0.24
12,0.333333,0,0.666667,0,0.666667,0.333333,0,0,0,0.333333,0.333333,0.333333,0,0.666667,0,0,0.333333,0.666667,0.333333,0,0,0,0.333333,0.333333,0.333333,0.24,0.333333,0.24074,0.426667,0.24
13,0.666667,0,0,0,0.666667,0,0.333333,0,0,0.666667,0,0.333333,0,0,0,0.333333,0.333333,0.333333,0.666667,0.666667,0,0.333333,0.666667,0,0.333333,0.253333,0.333333,0.271293,0.413333,0.253333
14,0,0.333333,0.333333,0,0.333333,0.333333,0,0.666667,0.333333,0.333333,0,0,0.333333,0,0.666667,0.333333,0.666667,0,0,0,0,0,0.333333,0,0.333333,0.213333,0.333333,0.228619,0.453333,0.213333
15,0.333333,0.333333,0,0.333333,0.333333,0,0,0,0.333333,0.333333,0,0,0,0,0.333333,0,0.333333,0,0,0,0.333333,0,0,0.333333,0.333333,0.146667,0,0.165462,0.186667,0.146667
16,0.333333,0,0,0.333333,0.333333,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.253333,0.333333,0.19505,0.413333,0.253333
17,0,0.666667,0.666667,0,0,0,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0,0.666667,0,0.666667,0,0,0,0,0,0.333333,0,0.173333,0,0.251573,0.493333,0.173333
18,0.666667,0,0.333333,0.333333,0,0,0.333333,0,0.333333,0.333333,0,0,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0,0,0,0,0.333333,0.186667,0.333333,0.190438,0.48,0.186667
19,0,0.333333,0,0,0,0.333333,0,0,0,0.333333,0.333333,0.333333,0,0,0,0,0.333333,0,0.333333,0.333333,0,0,0,0.333333,0,0.12,0,0.16,0.213333,0.12
20,0,0,0,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.333333,0,0,0,0,0,0.0533333,0,0.122202,0.28,0.0533333
