Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.666667,1,1,1,1,0.333333,1,0.666667,1,1,1,0.666667,0.333333,1,1,1,1,0.333333,1,0.333333,1,0.666667,0.666667,1,1,0.826667,1,0.251573,0.173333,0.493333
2,0.666667,0.333333,1,0.666667,1,1,0,0.333333,0.333333,1,0.333333,0.666667,0.333333,1,1,0.333333,0.333333,1,0.333333,0.666667,1,0.666667,0.333333,0.666667,0.333333,0.613333,0.666667,0.308113,0.386667,0.613333
3,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.666667,0.333333,1,0.666667,0.666667,0.666667,0.666667,0.333333,0.333333,0.666667,1,0.666667,0.666667,0.333333,1,0,0,0.666667,0.666667,0.573333,0.666667,0.258543,0.426667,0.573333
4,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.666667,0.666667,0.333333,1,0.333333,0.666667,0,0.333333,0.666667,0,0.666667,0.666667,0.333333,0.666667,0.666667,0.333333,0.666667,0.506667,0.666667,0.233238,0.493333,0.506667
5,0.333333,0.333333,0.666667,0,0.333333,0.333333,0,0.333333,0,0,0.333333,0.333333,0,0.666667,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.293333,0.333333,0.195959,0.373333,0.293333
6,0,0.333333,0,0.333333,0.333333,0.666667,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0,0,0,0.333333,0.333333,0,0.333333,0.666667,0.333333,0,0.333333,0.226667,0.333333,0.204831,0.44,0.226667
7,0,0.666667,0.666667,0,0,0,0,0.333333,0.333333,0,0.333333,0.333333,0.666667,0.333333,0.666667,0.666667,0.333333,0.333333,0,0.333333,0,0.333333,0.666667,0,0.333333,0.293333,0.333333,0.255082,0.373333,0.293333
8,0.333333,1,0.666667,0,0.333333,0,0.333333,0.666667,0.333333,0.333333,0,0.333333,0,0.333333,0.666667,0,0.666667,1,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0.386667,0.333333,0.293333,0.613333,0.386667
9,0,0.333333,0,0.666667,0.333333,1,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,0.333333,0.333333,0.426667,0.333333,0.24074,0.573333,0.426667
10,0.333333,0.333333,0.333333,0.666667,0,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.666667,0,0.333333,0.666667,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.306667,0.333333,0.209125,0.36,0.306667
11,0,0,0,0.666667,0,0.333333,0,0.333333,0.666667,0.333333,0.333333,0,0,0,0,0.666667,0.666667,0.333333,0.333333,0.333333,0,0.333333,0.333333,0.666667,0,0.253333,0.333333,0.254384,0.413333,0.253333
12,0.333333,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,1,0.333333,0.333333,0.666667,0.333333,0,0,0.333333,1,0.333333,0.666667,0.666667,0,0.333333,0.666667,0.333333,0.666667,0.386667,0.333333,0.277769,0.613333,0.386667
13,0.333333,0,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.333333,0,0,0.333333,0.333333,0,0,0.666667,0.333333,0.333333,0,0.333333,0.333333,0,1,0.333333,0.333333,0.266667,0.333333,0.23094,0.733333,0.266667
14,0,0,0.666667,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0,0.333333,0.666667,0.333333,0.333333,0,0.666667,0,0.333333,0,1,0,0.333333,0.333333,0.333333,0.333333,0.346667,0.333333,0.27455,0.653333,0.346667
15,0,0.333333,0.333333,0.333333,0,0.333333,0,0,0,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,0,0.333333,0,0.333333,0.666667,0.293333,0.333333,0.237019,0.373333,0.293333
16,0.333333,0,0.333333,0,0.666667,0.333333,0,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,0.333333,0.666667,0,0.333333,0,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.306667,0.333333,0.229395,0.36,0.306667
17,0.333333,0.333333,0,0,0.333333,0,0.666667,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.666667,0.666667,0,0,0.666667,0,0,0,0.666667,0.333333,0.333333,0,0.266667,0.333333,0.249444,0.4,0.266667
18,0,0,0.333333,0.666667,0,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0.333333,0.333333,0.333333,0,0.333333,0.666667,0.333333,0.253333,0.333333,0.19505,0.413333,0.253333
19,0.333333,0,0.333333,0.333333,0,0.333333,0.333333,0.333333,0,0.333333,0,0.333333,0.333333,0,0,0.666667,0.666667,0,0.333333,0.666667,0,0,0.333333,0.666667,0.333333,0.266667,0.333333,0.23094,0.4,0.266667
20,0.333333,0,0.333333,0,0,0,0,0,0.333333,0.666667,0.333333,0.333333,0,0,0.333333,0.666667,0,0,0.333333,0.333333,0,0,0.333333,0,0,0.173333,0,0.213333,0.493333,0.173333
