Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,1,1,0.666667,1,1,0.666667,0.666667,1,1,1,0.666667,1,1,1,1,1,1,1,1,1,1,1,0.666667,1,1,0.933333,1,0.133333,0.0666667,0.266667
2,1,0.666667,0.333333,0.666667,1,0.333333,1,1,1,1,1,0.666667,1,1,1,1,0.666667,0.666667,1,0.666667,1,1,1,0.666667,1,0.853333,1,0.212498,0.146667,0.52
3,1,0.666667,1,0.333333,0.666667,0.666667,0.666667,0.666667,1,1,0.666667,1,0.666667,0.666667,1,0.666667,0.666667,0.666667,1,0.666667,0.666667,1,1,0.666667,0.666667,0.773333,0.666667,0.181842,0.226667,0.44
4,0.666667,0.666667,0.666667,0.333333,1,1,0.666667,1,0.666667,0.666667,1,1,1,1,1,1,1,1,0.666667,0.333333,1,0.666667,0.666667,1,1,0.826667,1,0.213333,0.173333,0.493333
5,0.333333,0.666667,1,1,0.666667,1,1,0.666667,0.666667,1,0.333333,1,0.333333,0.666667,1,0.333333,1,0.666667,0.666667,1,1,0.666667,1,0.666667,1,0.773333,0.666667,0.244404,0.226667,0.44
6,1,1,0.666667,1,0.666667,0.666667,1,1,0,1,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,1,0.666667,0.666667,0.666667,1,1,1,0.333333,1,0.773333,0.666667,0.244404,0.226667,0.773333
7,1,0.333333,1,0.666667,0.333333,1,1,1,0.666667,1,1,0.666667,0.666667,1,0.666667,0.333333,1,0.333333,1,0.666667,0.666667,1,0.666667,0.666667,0.666667,0.76,0.666667,0.24074,0.24,0.426667
8,1,0.666667,1,0.666667,0.333333,1,1,0.666667,0.666667,0.666667,1,0.666667,0.333333,0.333333,0.666667,0.333333,1,1,1,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.72,0.666667,0.224697,0.28,0.386667
9,0.666667,0.666667,1,0,0.666667,0.666667,1,0.666667,0.333333,1,0.666667,0.333333,1,0.666667,0.666667,0.666667,1,0.666667,0.666667,0,0.333333,0.666667,0.666667,0.666667,0.666667,0.64,0.666667,0.26533,0.36,0.64
10,1,1,0.666667,0.333333,0.333333,0.333333,0.333333,0.666667,1,1,1,0.666667,1,0.666667,1,0.333333,0.333333,0.333333,1,0.333333,1,0.333333,0.333333,0.333333,1,0.653333,0.666667,0.305214,0.346667,0.32
11,1,0.666667,0.666667,0.666667,0.333333,0.666667,0.666667,0.666667,0.666667,0.333333,0.666667,0.333333,1,0.666667,1,0.666667,0,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,1,0.613333,0.666667,0.243676,0.386667,0.613333
12,1,0.666667,0.333333,1,0.666667,1,0.666667,0.333333,0.666667,0.666667,0.666667,0.333333,1,0.666667,0.666667,0.666667,0.666667,0.666667,0.333333,0.666667,1,0.666667,0.666667,1,1,0.706667,0.666667,0.21746,0.293333,0.373333
13,0.666667,0.333333,0.666667,0.666667,0.333333,0.666667,0.666667,0.666667,0.666667,0,0.666667,1,1,1,0.666667,0.333333,0.666667,0.666667,0.333333,0.666667,1,0,0,0.333333,0.333333,0.56,0.666667,0.293939,0.44,0.56
14,0.333333,0.666667,1,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,1,0.333333,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,1,0.333333,0.333333,1,0,0.333333,0,0.506667,0.333333,0.284722,0.493333,0.506667
15,0.333333,0.333333,1,0.666667,0.666667,0.333333,1,0.666667,0.333333,0.333333,0.333333,1,1,0.333333,0.666667,0,0.666667,0.333333,0.666667,0.333333,0.666667,0.333333,0.333333,0.666667,0.666667,0.546667,0.666667,0.264659,0.453333,0.546667
16,0.333333,0.333333,0.666667,0.333333,0,0.333333,1,0.666667,1,0.666667,1,0.666667,0.333333,0.666667,0.333333,0.666667,0.666667,0.666667,1,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,0.573333,0.666667,0.258543,0.426667,0.573333
17,1,0,0.666667,0.333333,1,0.333333,0.666667,0.666667,0.333333,0.666667,0.333333,0,0.666667,0.666667,0.333333,0.666667,0.666667,0.666667,0.666667,0.333333,0,0.666667,0.666667,0.333333,0.333333,0.506667,0.666667,0.268659,0.493333,0.506667
18,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.666667,0.666667,0,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0.666667,0.333333,0,0.666667,0.333333,0.333333,0.210819,0.333333,0.333333
19,0,0,0.333333,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.333333,0.666667,0.666667,0.666667,0,0,0.666667,0.333333,0.333333,0.333333,0,0,0.333333,0,0.293333,0.333333,0.287827,0.373333,0.293333
20,0.666667,0,0.333333,0,0.666667,0.333333,0,0,0,0,0.333333,0.333333,0.333333,0.333333,0.333333,0,0,0,0.333333,0,0.666667,0,0.333333,0,0,0.2,0,0.23094,0.466667,0.2
