Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.894737,0.947368,0.789474,0.842105,0.789474,0.789474,0.894737,0.842105,0.842105,0.789474,0.842105,0.736842,0.631579,0.894737,0.947368,0.947368,0.947368,0.789474,0.947368,0.631579,0.894737,0.631579,0.789474,0.736842,0.789474,0.823158,0.842105,0.0963374,0.124211,0.191579
2,0.842105,0.789474,0.736842,0.789474,0.631579,0.736842,0.631579,0.736842,0.789474,0.894737,0.631579,0.684211,0.631579,0.894737,0.894737,0.736842,0.684211,0.684211,0.789474,0.684211,0.842105,0.631579,0.789474,0.736842,0.631579,0.741053,0.736842,0.0867,0.153684,0.109474
3,0.789474,0.631579,0.631579,0.684211,0.631579,0.631579,0.736842,0.631579,0.789474,0.736842,0.578947,0.631579,0.526316,0.578947,0.631579,0.684211,0.789474,0.684211,0.526316,0.526316,0.789474,0.578947,0.684211,0.631579,0.736842,0.658947,0.631579,0.0816994,0.130526,0.132632
4,0.736842,0.684211,0.578947,0.631579,0.526316,0.736842,0.631579,0.578947,0.631579,0.578947,0.578947,0.631579,0.631579,0.631579,0.631579,0.578947,0.736842,0.684211,0.578947,0.526316,0.684211,0.631579,0.578947,0.631579,0.631579,0.627368,0.631579,0.0575011,0.109474,0.101053
5,0.631579,0.578947,0.631579,0.578947,0.578947,0.526316,0.578947,0.578947,0.473684,0.526316,0.421053,0.631579,0.631579,0.736842,0.736842,0.473684,0.631579,0.473684,0.578947,0.578947,0.684211,0.473684,0.578947,0.578947,0.631579,0.581053,0.578947,0.0780369,0.155789,0.16
6,0.421053,0.631579,0.421053,0.789474,0.421053,0.526316,0.526316,0.631579,0.473684,0.526316,0.368421,0.473684,0.578947,0.421053,0.526316,0.631579,0.684211,0.578947,0.631579,0.473684,0.578947,0.578947,0.684211,0.526316,0.578947,0.547368,0.526316,0.0987456,0.242105,0.178947
7,0.684211,0.526316,0.526316,0.368421,0.368421,0.578947,0.421053,0.473684,0.578947,0.736842,0.578947,0.473684,0.473684,0.684211,0.526316,0.473684,0.578947,0.473684,0.421053,0.421053,0.473684,0.631579,0.473684,0.526316,0.473684,0.517895,0.473684,0.0937729,0.218947,0.149474
8,0.578947,0.315789,0.526316,0.526316,0.315789,0.473684,0.368421,0.473684,0.473684,0.473684,0.526316,0.421053,0.421053,0.315789,0.526316,0.421053,0.578947,0.684211,0.526316,0.473684,0.421053,0.421053,0.421053,0.421053,0.578947,0.467368,0.473684,0.0884712,0.216842,0.151579
9,0.421053,0.526316,0.578947,0.368421,0.473684,0.526316,0.578947,0.315789,0.473684,0.578947,0.473684,0.473684,0.421053,0.473684,0.421053,0.421053,0.473684,0.631579,0.526316,0.368421,0.526316,0.526316,0.578947,0.368421,0.578947,0.484211,0.473684,0.080166,0.147368,0.168421
10,0.526316,0.315789,0.526316,0.421053,0.421053,0.315789,0.368421,0.473684,0.473684,0.473684,0.684211,0.421053,0.263158,0.473684,0.473684,0.368421,0.368421,0.315789,0.421053,0.421053,0.421053,0.421053,0.578947,0.368421,0.473684,0.431579,0.421053,0.0893188,0.252632,0.168421
