Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,0.556671,0.599099,0,0.393072,0.579618,0.373002,0.569355,0.583984,0.580038,0,0.605475,0.570356,0.34608,0.351724,0.380673,0.570902,0.538911,0,0.391525,0,0.35364,0.503861,0.47482,0,0.545455,0.394731,0.47482,0.21509,0.210745,0.394731
2,0.558442,0.623311,0,0.352827,0.507277,0.341317,0.54326,0.585691,0.594378,0,0.510673,0.624217,0.367133,0.384155,0.393728,0.541732,0.515315,0,0.35302,0,0.398462,0.502347,0.546296,0,0.519157,0.390509,0.502347,0.212438,0.233708,0.390509
3,0.5875,0.601709,0,0.348875,0.574899,0.372549,0.545283,0.59051,0.580777,0,0.547256,0.541329,0.378215,0.342812,0.326733,0.578616,0.502664,0,0.39779,0,0.329004,0.474954,0.510246,0,0.483108,0.384593,0.474954,0.211366,0.217116,0.384593
4,0.582915,0.587402,0,0.364063,0.537634,0.35167,0.527183,0.59707,0.545455,0,0.570397,0.484293,0.343137,0.369906,0.352612,0.57479,0.593074,0,0.3568,0,0.400763,0.480603,0.48,0,0.513966,0.384549,0.48,0.20971,0.21252,0.384549
5,0.555066,0.56541,0,0.363036,0.584821,0.328244,0.557143,0.617504,0.562376,0,0.548463,0.491837,0.332558,0.353982,0.364807,0.573214,0.569343,0,0.353818,0,0.348214,0.5,0.460285,0,0.536199,0.382653,0.460285,0.211375,0.234851,0.382653
6,0.55711,0.542208,0,0.394604,0.510345,0.328814,0.533816,0.572193,0.515152,0,0.551471,0.529167,0.325626,0.356537,0.427757,0.564211,0.476562,0,0.359551,0,0.32363,0.442387,0.47619,0,0.506361,0.371748,0.442387,0.201004,0.200445,0.371748
7,0.554913,0.533755,0,0.335092,0.520833,0.335968,0.529018,0.575486,0.546911,0,0.542923,0.573009,0.330935,0.385542,0.318565,0.561886,0.562162,0,0.315904,0,0.344762,0.472554,0.485523,0,0.525714,0.374058,0.472554,0.20688,0.201427,0.374058
8,0.601961,0.539216,0,0.338889,0.54409,0.348341,0.532934,0.55,0.493478,0,0.578838,0.525,0.322734,0.326642,0.341414,0.548246,0.492537,0,0.368293,0,0.333333,0.494764,0.472779,0,0.481586,0.369403,0.472779,0.20319,0.232558,0.369403
9,0.589812,0.615542,0,0.350711,0.549751,0.271457,0.545455,0.569565,0.55102,0,0.562212,0.547253,0.311005,0.358744,0.357282,0.552752,0.488701,0,0.324859,0,0.327059,0.432039,0.581769,0,0.516556,0.376142,0.432039,0.212755,0.2394,0.376142
10,0.548387,0.561702,0,0.334076,0.536585,0.317352,0.523474,0.569476,0.540404,0,0.546012,0.521411,0.328897,0.3075,0.356009,0.511111,0.47806,0,0.345361,0,0.317789,0.4819,0.42029,0,0.497608,0.361736,0.42029,0.200151,0.20774,0.361736
11,0.504451,0.57381,0,0.317895,0.550976,0.342975,0.584178,0.545699,0.473008,0,0.469979,0.549206,0.355691,0.278226,0.347926,0.548757,0.544974,0,0.362,0,0.345411,0.467787,0.461353,0,0.522277,0.365863,0.461353,0.202267,0.218315,0.365863
12,0.552632,0.535865,0,0.33833,0.579869,0.313402,0.53253,0.574118,0.572626,0,0.450658,0.498607,0.307692,0.335648,0.297352,0.580645,0.497207,0,0.344681,0,0.32996,0.416667,0.472585,0,0.5,0.361243,0.416667,0.202645,0.219402,0.361243
13,0.5625,0.558753,0,0.356568,0.538462,0.316302,0.56068,0.488166,0.498525,0,0.553288,0.522857,0.305618,0.321596,0.31982,0.497561,0.493261,0,0.331646,0,0.284689,0.414248,0.48773,0,0.520988,0.35733,0.414248,0.199625,0.20517,0.35733
14,0.534783,0.444118,0,0.3,0.555819,0.299781,0.482412,0.536998,0.5,0,0.522624,0.525773,0.276042,0.315068,0.364653,0.552209,0.55303,0,0.319149,0,0.279592,0.479784,0.474432,0,0.515228,0.35326,0.444118,0.199286,0.20256,0.35326
15,0.546419,0.565789,0,0.308094,0.514412,0.30621,0.521197,0.572519,0.508475,0,0.542079,0.482759,0.32618,0.374359,0.320334,0.496104,0.493023,0,0.308026,0,0.311628,0.507812,0.482105,0,0.506297,0.359753,0.482105,0.199829,0.212766,0.359753
16,0.534137,0.502475,0,0.308333,0.56699,0.319307,0.561538,0.535032,0.483402,0,0.530303,0.502632,0.311015,0.307692,0.3375,0.562222,0.521164,0,0.390887,0,0.303529,0.437158,0.494924,0,0.487738,0.359919,0.437158,0.199875,0.207071,0.359919
17,0.564551,0.534413,0,0.321508,0.5,0.306763,0.536458,0.584656,0.498818,0,0.512019,0.536657,0.32574,0.343675,0.29589,0.557951,0.540146,0,0.326797,0,0.298969,0.465438,0.462295,0,0.490431,0.360127,0.462295,0.201988,0.224529,0.360127
18,0.561576,0.615213,0,0.309524,0.581717,0.305361,0.517615,0.568584,0.489848,0,0.541779,0.532164,0.38191,0.320707,0.302158,0.474006,0.474576,0,0.311054,0,0.314655,0.470149,0.461538,0,0.502488,0.361465,0.461538,0.203469,0.253748,0.361465
19,0.53869,0.573494,0,0.342932,0.5,0.291375,0.541547,0.509972,0.498667,0,0.514085,0.50137,0.302885,0.286533,0.328918,0.526906,0.490964,0,0.283019,0,0.345708,0.472789,0.455013,0,0.478632,0.35134,0.455013,0.196289,0.222154,0.35134
