Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,388,399,0,261,273,210,353,299,308,0,376,304,181,204,260,310,277,0,231,0,238,261,264,0,342,229.56,261,126.698,169.44,229.56
2,344,369,0,181,244,228,270,352,296,0,311,299,210,257,226,344,286,0,263,0,259,214,295,0,271,220.76,259,119.133,148.24,220.76
3,329,352,0,217,284,228,289,336,284,0,359,334,250,217,198,276,283,0,216,0,228,256,249,0,286,218.84,250,117.497,140.16,218.84
4,348,373,0,233,300,179,320,326,258,0,316,185,210,236,189,342,274,0,223,0,210,223,228,0,276,209.96,228,117.146,163.04,209.96
5,252,255,0,220,262,172,234,381,284,0,232,241,143,200,170,321,234,0,190,0,195,235,226,0,237,187.36,226,104.648,193.64,187.36
6,239,334,0,234,222,194,221,321,221,0,225,254,169,210,225,268,183,0,160,0,189,215,240,0,199,180.92,215,98.2368,153.08,180.92
7,288,253,0,127,200,170,237,385,239,0,234,259,184,192,151,286,208,0,145,0,181,198,218,0,184,173.56,192,101.036,211.44,173.56
8,307,330,0,122,290,147,267,253,227,0,279,210,203,179,169,250,198,0,151,0,177,189,165,0,170,171.32,179,99.6469,158.68,171.32
9,220,301,0,148,221,136,204,262,243,0,244,249,130,160,184,241,173,0,115,0,139,178,217,0,234,159.96,178,91.6185,141.04,159.96
10,238,264,0,150,176,139,223,250,214,0,267,207,173,123,157,230,207,0,134,0,184,213,174,0,208,157.24,176,87.0325,109.76,157.24
11,170,241,0,151,254,166,288,203,184,0,227,173,175,138,151,287,206,0,181,0,143,167,191,0,211,156.28,173,87.2034,131.72,156.28
12,210,254,0,158,265,152,221,244,205,0,137,179,136,145,146,252,178,0,162,0,163,130,181,0,192,148.4,162,83.1673,116.6,148.4
13,216,233,0,133,217,130,231,165,169,0,244,183,136,137,142,204,183,0,131,0,119,157,159,0,211,140,157,78.2565,104,140
14,246,151,0,132,234,137,192,254,182,0,231,255,106,138,163,275,219,0,120,0,137,178,167,0,203,148.8,163,86.7193,126.2,148.8
15,206,258,0,118,232,143,209,225,210,0,219,210,152,146,115,191,212,0,142,0,134,195,229,0,201,149.88,191,83.4555,108.12,149.88
16,266,203,0,111,292,129,219,252,233,0,210,191,144,120,162,253,197,0,163,0,129,160,195,0,179,152.32,163,88.4456,139.68,152.32
17,258,264,0,145,215,127,206,221,211,0,213,183,143,144,108,207,222,0,150,0,145,202,141,0,205,148.4,150,83.6536,115.6,148.4
18,228,275,0,104,210,131,191,257,193,0,201,182,152,127,126,155,168,0,121,0,146,189,174,0,202,141.28,155,81.0198,133.72,141.28
19,181,238,0,131,181,125,189,179,187,0,219,183,126,100,149,235,163,0,120,0,149,139,177,0,168,133.56,149,74.4371,104.44,133.56
20,254,229,0,114,191,151,182,245,163,0,255,189,111,121,118,246,183,0,131,0,126,158,174,0,172,140.52,158,82.1716,114.48,140.52
