Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,15,15,14,12,14,10,13,10,14,8,5,14,8,10,13,10,15,12,13,13,7,13,7,7,8,11.2,12,2.96648,3.8,6.2
2,12,12,6,7,7,4,5,8,8,7,8,6,6,5,10,6,8,8,3,4,3,12,6,7,5,6.92,7,2.49672,5.08,3.92
3,3,3,0,7,4,5,5,7,4,9,3,7,8,2,4,4,4,4,12,3,10,3,3,5,6,5,4,2.6533,7,5
4,3,3,12,2,6,7,4,1,4,1,5,4,1,8,3,7,4,4,3,10,4,3,9,4,5,4.68,4,2.75274,7.32,3.68
5,4,6,6,10,6,5,1,7,6,8,4,6,10,2,8,6,4,7,2,6,8,2,8,4,4,5.6,6,2.36643,4.4,4.6
6,7,4,9,4,4,4,6,6,12,7,5,8,10,6,6,11,9,8,5,5,1,10,7,4,9,6.68,6,2.58797,5.32,5.68
7,6,4,2,3,9,6,3,5,6,4,6,2,11,5,7,10,3,6,8,9,5,7,6,4,7,5.76,6,2.35423,5.24,3.76
8,5,5,7,2,4,12,3,3,6,3,9,2,10,3,6,3,5,7,5,9,4,5,4,3,1,5.04,5,2.66053,6.96,4.04
9,3,4,7,4,5,7,1,5,3,6,3,7,5,5,5,8,4,4,5,4,6,6,3,3,6,4.76,5,1.60698,3.24,3.76
10,4,0,6,4,2,3,3,4,3,5,4,1,8,1,5,8,0,11,3,1,4,3,7,5,4,3.96,4,2.56874,7.04,3.96
11,3,4,6,0,5,5,2,6,4,7,1,6,3,4,3,4,4,7,8,1,4,7,10,3,4,4.44,4,2.28175,5.56,4.44
12,4,4,8,0,9,4,1,2,0,4,5,5,5,7,0,6,3,10,5,1,2,3,4,5,6,4.12,4,2.64303,5.88,4.12
13,7,1,6,2,6,4,5,2,0,6,0,4,0,1,0,5,4,4,7,8,1,5,7,5,6,3.84,4,2.54055,4.16,3.84
14,1,6,3,2,4,4,3,8,5,6,0,1,5,3,6,3,8,1,4,1,3,2,8,2,4,3.72,3,2.27192,4.28,3.72
15,6,6,2,4,4,0,0,1,9,4,0,6,1,3,4,2,4,2,1,3,7,1,4,4,6,3.36,4,2.34742,5.64,3.36
16,3,1,1,3,4,2,1,3,5,4,2,3,0,3,4,1,1,4,10,5,3,7,4,5,7,3.44,3,2.22854,6.56,3.44
17,1,6,6,2,2,1,1,4,5,4,5,5,1,0,0,6,1,7,1,4,4,1,4,5,0,3.04,4,2.19964,3.96,3.04
18,7,1,4,4,1,3,3,0,8,8,1,2,7,3,0,5,3,6,7,8,1,1,4,2,4,3.72,3,2.58488,4.28,3.72
19,1,6,2,2,3,5,4,1,1,3,4,3,2,2,0,0,3,3,3,5,0,1,1,4,1,2.4,2,1.62481,3.6,2.4
20,0,2,3,9,4,1,0,5,0,0,0,3,1,2,0,0,1,0,3,5,0,1,2,1,0,1.72,1,2.1637,7.28,1.72
