Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,9,12,13,16,14,9,16,10,15,15,11,16,10,12,16,11,12,8,18,7,18,9,12,12,18,12.76,12,3.21596,5.24,5.76
2,10,9,14,13,9,15,9,6,5,12,12,10,5,11,14,5,10,15,7,9,16,11,7,11,11,10.24,10,3.16582,5.76,5.24
3,11,14,9,10,16,8,14,12,10,11,12,14,9,9,6,7,16,11,12,10,11,10,4,11,10,10.68,11,2.78165,5.32,6.68
4,11,9,9,9,6,13,14,9,12,8,6,10,5,14,7,9,8,4,14,7,8,10,13,14,8,9.48,9,2.91369,4.52,5.48
5,6,6,7,5,6,4,3,4,6,5,7,4,4,7,5,7,7,7,5,1,7,5,4,6,6,5.36,6,1.49345,1.64,4.36
6,4,6,2,8,8,12,8,6,2,9,5,5,6,3,2,1,4,6,6,8,8,7,4,5,7,5.68,6,2.54118,6.32,4.68
7,5,6,7,3,1,1,3,5,7,2,4,6,7,5,8,8,6,4,5,7,1,4,9,4,4,4.88,5,2.21486,4.12,3.88
8,8,15,9,1,10,3,10,10,4,6,5,7,1,4,7,1,8,9,6,6,5,9,9,9,10,6.88,7,3.31445,8.12,5.88
9,3,5,5,7,3,12,5,2,8,4,7,5,10,5,6,7,8,3,8,9,4,7,9,4,4,6,5,2.44949,6,4
10,7,6,4,7,7,10,8,1,7,4,7,8,6,4,6,3,5,11,6,5,6,5,4,9,6,6.08,6,2.15258,4.92,5.08
11,3,2,4,6,4,5,3,6,8,6,5,1,5,2,3,11,9,6,7,6,4,6,5,6,6,5.16,5,2.20327,5.84,4.16
12,5,6,3,9,5,5,4,4,9,4,5,10,7,1,8,7,10,7,7,8,0,5,9,6,8,6.08,6,2.54433,3.92,6.08
13,5,2,6,6,5,8,2,6,7,2,1,4,4,3,1,6,4,8,5,6,6,8,13,3,7,5.12,5,2.64303,7.88,4.12
14,1,5,8,6,9,4,6,4,6,7,8,8,5,4,1,7,2,7,2,9,6,8,4,5,5,5.48,6,2.29991,3.52,4.48
15,3,5,7,5,7,6,4,4,0,7,10,5,5,5,4,6,4,11,6,8,0,5,2,7,6,5.28,5,2.4903,5.72,5.28
16,7,6,4,3,11,5,1,5,8,9,4,9,9,4,7,8,6,5,0,4,1,5,4,8,6,5.56,5,2.68447,5.44,5.56
17,5,8,5,2,6,7,8,4,3,5,7,4,5,9,9,5,2,7,0,2,7,7,7,3,5,5.28,5,2.32413,3.72,5.28
18,2,3,5,6,3,4,4,5,5,1,5,3,6,2,6,3,4,6,4,5,4,1,3,13,5,4.32,4,2.29295,8.68,3.32
19,5,1,3,4,6,4,4,4,1,4,6,4,8,2,1,11,6,4,6,7,1,2,4,9,5,4.48,4,2.49992,6.52,3.48
20,3,2,3,4,2,0,0,2,6,7,3,8,2,0,7,9,1,5,5,5,2,2,4,3,1,3.44,3,2.46706,5.56,3.44
