Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,27,22,28,32,26,33,21,27,28,26,34,25,29,36,27,26,29,27,29,27,32,30,26,22,27,27.84,27,3.55168,8.16,6.84
2,24,34,22,29,27,25,32,27,31,24,23,31,21,27,30,21,34,19,31,28,27,21,22,23,25,26.32,27,4.25883,7.68,7.32
3,26,23,23,31,22,25,27,26,28,21,29,28,20,29,24,26,26,18,15,23,25,29,25,22,19,24.4,25,3.78418,6.6,9.4
4,24,27,13,30,21,18,25,26,26,22,24,17,23,22,28,14,23,21,20,24,29,21,21,24,22,22.6,23,4.08901,7.4,9.6
5,22,20,22,18,22,20,27,25,20,22,28,21,26,29,22,28,23,18,25,20,26,24,18,28,19,22.92,22,3.40494,6.08,4.92
6,22,19,20,25,20,18,17,22,21,20,19,23,21,24,28,22,18,18,19,21,27,20,17,21,17,20.76,20,2.87444,7.24,3.76
7,20,24,19,23,19,20,21,21,14,29,22,21,19,26,23,15,15,20,13,17,26,14,17,18,20,19.84,20,3.94644,9.16,6.84
8,17,9,14,19,10,10,9,8,15,13,19,15,20,15,12,19,19,11,19,13,19,16,14,17,11,14.52,15,3.72151,5.48,6.52
9,15,16,14,9,19,15,20,13,11,18,15,16,14,15,11,9,14,20,11,20,16,18,16,14,16,15,15,3.11127,5,6
10,8,12,11,14,18,15,10,18,14,14,12,8,6,17,18,11,17,13,15,15,14,18,17,13,16,13.76,14,3.32602,4.24,7.76
11,17,17,15,12,16,15,15,12,16,15,12,19,11,9,17,17,12,13,8,13,10,8,12,10,18,13.56,13,3.12512,5.44,5.56
12,13,14,19,13,6,13,13,19,14,12,13,14,15,15,12,9,13,13,15,14,13,12,9,12,9,12.96,13,2.74925,6.04,6.96
13,10,13,10,11,14,12,13,14,11,10,16,10,13,9,12,17,9,11,14,6,9,11,11,14,13,11.72,11,2.39199,5.28,5.72
14,15,17,13,20,7,14,13,9,16,13,15,13,14,14,18,16,11,12,10,14,13,11,14,13,14,13.56,14,2.71411,6.44,6.56
15,12,14,10,13,16,14,14,18,12,6,13,11,19,12,5,15,12,19,17,14,6,18,16,11,11,13.12,13,3.74508,5.88,8.12
16,8,12,15,10,13,16,12,15,13,9,9,11,10,13,13,12,11,15,9,16,11,12,13,17,14,12.36,12,2.398,4.64,4.36
17,11,8,13,16,15,17,8,13,15,7,9,15,16,13,19,18,17,11,16,10,14,10,14,13,12,13.2,13,3.23728,5.8,6.2
18,11,6,10,11,15,13,11,12,13,10,11,18,9,14,8,10,12,14,11,16,16,17,11,9,9,11.88,11,2.88888,6.12,5.88
19,11,15,13,3,7,6,14,14,10,9,14,10,9,9,6,16,10,10,7,6,13,16,16,9,14,10.68,10,3.59689,5.32,7.68
20,3,10,4,12,12,10,6,6,4,12,15,8,0,9,2,10,6,11,8,14,8,14,9,8,15,8.64,9,3.9988,6.36,8.64
