Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,16,18,14,18,16,16,16,18,14,16,16,18,16,18,18,16,16,16,15,15,13,18,16,16,18,16.28,16,1.40057,1.72,3.28
2,15,15,12,13,16,9,18,16,16,16,15,12,16,16,18,15,14,14,15,11,18,18,16,16,18,15.12,16,2.26839,2.88,6.12
3,16,11,15,11,13,16,14,11,14,16,16,13,12,14,18,14,14,13,12,8,16,16,16,16,14,13.96,14,2.21775,4.04,5.96
4,13,16,15,9,12,14,11,18,12,9,16,16,12,13,18,18,15,15,13,11,18,14,11,11,15,13.8,14,2.68328,4.2,4.8
5,11,16,12,18,10,16,13,11,13,13,12,12,11,16,18,6,13,15,8,13,14,16,18,7,13,13,13,3.16228,5,7
6,16,18,14,10,13,13,18,11,7,13,10,13,11,16,13,7,12,11,10,7,15,14,13,7,14,12.24,13,3.12768,5.76,5.24
7,13,11,15,10,9,15,13,16,16,13,13,11,9,14,7,10,16,10,15,12,14,14,10,11,11,12.32,13,2.46122,3.68,5.32
8,12,13,10,12,12,16,16,12,13,14,9,14,11,11,13,9,11,14,12,12,12,8,14,11,11,12.08,12,1.93742,3.92,4.08
9,13,10,13,10,10,9,10,14,10,12,9,8,14,9,13,12,16,8,12,5,6,6,11,12,10,10.48,10,2.64,5.52,5.48
10,14,16,11,11,11,8,14,10,12,12,10,11,16,10,13,10,10,11,18,9,13,5,10,6,10,11.24,11,2.87444,6.76,6.24
11,13,9,11,11,8,13,12,9,10,11,8,9,16,11,16,11,9,11,15,10,8,11,13,14,11,11.2,11,2.29783,4.8,3.2
12,13,11,11,13,12,14,8,8,16,11,11,5,12,8,16,13,8,8,9,11,13,13,11,15,12,11.28,11,2.69102,4.72,6.28
13,11,8,16,11,8,8,10,12,14,7,11,13,15,16,14,5,16,10,8,10,12,7,4,10,8,10.56,10,3.32361,5.44,6.56
14,9,13,11,8,16,11,10,10,10,12,7,11,10,13,12,8,13,11,14,6,8,14,8,13,7,10.6,11,2.51396,5.4,4.6
15,8,10,13,11,7,9,11,11,13,7,10,11,12,7,13,7,13,7,13,11,10,9,11,11,7,10.08,11,2.15258,2.92,3.08
16,8,11,12,8,3,5,13,10,11,11,11,11,9,10,7,10,16,6,16,8,11,10,12,7,9,9.8,10,2.93939,6.2,6.8
17,11,4,7,11,11,5,12,10,10,10,11,4,11,10,7,8,10,11,9,12,6,10,8,8,8,8.96,10,2.32345,3.04,4.96
18,6,10,6,4,4,6,10,8,9,7,10,4,5,3,5,10,10,5,2,4,1,10,5,5,10,6.36,6,2.78395,3.64,5.36
19,1,3,7,10,6,9,5,2,7,9,1,5,6,9,6,1,2,10,10,8,6,3,5,5,3,5.56,6,2.92684,4.44,4.56
20,10,4,4,2,7,3,1,4,1,1,6,5,5,6,5,5,4,1,4,4,10,4,5,5,2,4.32,4,2.3447,5.68,3.32
