Pos,09-10,11-12,99-00,17-18,03-04,14-15,07-08,12-13,02-03,95-96,08-09,04-05,15-16,16-17,18-19,10-11,05-06,97-98,19-20,96-97,13-14,01-02,00-01,98-99,06-07,mean,median,stdev,max upper dv,max lower dv
1,86,89,91,100,90,87,87,89,83,82,90,95,81,93,98,80,91,78,99,75,86,87,80,79,89,87.4,87,6.50538,12.6,12.4
2,85,89,73,81,79,79,85,78,78,78,86,83,71,86,97,71,83,77,81,68,84,80,70,78,83,80.12,80,6.38323,16.88,12.12
3,75,70,69,77,75,75,83,75,69,71,83,77,70,78,72,71,82,65,66,68,82,77,69,75,68,73.68,75,5.22088,9.32,8.68
4,70,69,67,75,60,70,76,73,67,63,72,61,66,76,71,68,67,63,66,68,79,71,68,67,68,68.84,68,4.57541,10.16,8.84
5,67,65,65,70,56,64,65,72,64,63,63,58,66,75,70,62,65,59,62,61,72,66,66,57,60,64.52,65,4.68291,10.48,8.52
6,64,64,58,63,53,62,60,63,60,61,62,58,63,69,66,58,63,58,59,59,69,64,61,55,58,61.2,61,3.75233,7.8,8.2
7,63,56,58,54,53,60,58,61,59,61,53,55,62,61,57,54,58,57,59,57,64,53,57,54,56,57.6,57,3.16228,6.4,4.6
8,61,52,55,49,53,56,57,49,52,61,51,52,60,46,54,49,56,56,56,56,56,50,54,52,55,53.92,54,3.7408,7.08,7.92
9,50,52,55,47,52,54,55,46,51,58,51,52,51,46,52,48,55,55,54,47,50,50,52,51,54,51.52,52,3.04788,6.48,5.52
10,50,47,53,44,50,48,49,46,50,51,50,47,50,45,52,47,51,53,54,46,49,46,52,49,52,49.24,50,2.65752,4.76,5.24
11,47,47,52,44,48,47,46,44,49,50,45,46,47,45,50,47,50,52,52,46,45,45,51,47,50,47.68,47,2.5095,4.32,3.68
12,46,47,52,44,47,47,43,43,49,43,45,45,47,44,49,46,48,48,49,46,42,45,49,46,46,46.24,46,2.33718,5.76,4.24
13,44,45,50,42,45,44,42,42,48,43,41,44,45,44,45,46,47,44,44,42,40,44,48,46,43,44.32,44,2.27543,5.68,4.32
14,39,45,44,41,45,41,40,41,48,41,41,44,43,41,45,46,45,44,43,42,38,44,42,43,42,42.72,43,2.27192,5.28,4.72
15,38,43,44,40,44,39,39,41,47,40,41,42,42,41,40,43,43,44,41,42,38,43,42,42,41,41.6,42,2.03961,5.4,3.6
16,36,38,38,37,41,38,37,41,45,38,36,39,42,40,39,42,42,44,39,42,37,40,42,42,39,39.76,39,2.40466,5.24,3.76
17,35,37,36,36,39,38,36,39,44,38,35,34,39,40,36,40,38,40,35,41,36,40,42,41,38,38.12,38,2.47095,5.88,4.12
18,30,36,33,33,33,35,36,36,42,38,34,33,37,34,34,39,34,40,34,41,33,36,34,36,38,35.56,35,2.80114,6.44,5.56
19,30,31,31,33,33,33,35,28,26,33,32,33,34,28,26,39,30,35,34,40,32,30,34,35,34,32.36,33,3.3212,7.64,6.36
20,28,25,24,31,33,30,11,25,19,29,32,32,17,24,16,33,15,33,21,34,30,28,26,30,28,26.16,28,6.28446,7.84,15.16
